"zipcode","pop_american","pop_asian","pop_chinese","pop_dessert","pop_european","pop_italian","pop_mexican","pop_other","pop_quickmeal","pop_seafood","prop_american","prop_asian","prop_chinese","prop_desert","prop_european","prop_italian","prop_mexican","prop_other","prop_quickmeal","prop_seafood","below5","X5_14","X15_24","X25_34","X35_44","X45_54","X55_64","X65above","median.age","Total_Population","Female.per","Transportation.stations","markets","crime","crime_level","Average_yelp","Median_income","Theatre","income_rank","class_1","class_2","class_3","class_4"
10013,855,1567,940,3526,14106,1411,14106,14106,2170,NA,0.26,0.14,0.23,0.06,0.02,0.16,0.02,0.02,0.1,0,12,20,26,26,9,34,12,20,37,28211,0.5,16,31,126,"Relatively Safe",3.6,"104167",9,20,0,1,0,0
10014,925,6293,15732,4495,1966,3146,10488,5244,3933,10488,0.36,0.05,0.02,0.07,0.17,0.11,0.03,0.06,0.09,0.03,39,33,40,5,16,13,26,22,37,31464,0.49,12,26,162,"Relatively Dangerous",3.5,"119026",10,9,0,1,0,0
10016,1201,2193,5605,50444,5605,4586,8407,5044,10089,NA,0.36,0.2,0.08,0.01,0.08,0.09,0.05,0.09,0.04,0,29,36,21,4,43,36,27,17,33,50444,0.55,24,40,65,"Relatively Safe",3.8,"102703",6,22,0,1,0,0
10017,551,1033,8266,3307,1653,2756,16533,16533,2067,NA,0.38,0.2,0.03,0.06,0.13,0.08,0.01,0.01,0.1,0,29,42,28,8,15,35,23,9,38,16533,0.52,17,23,52,"Safe",3.6,"106795",NA,18,0,1,0,0
10018,277,968,3228,1614,4842,3228,NA,3228,1383,NA,0.51,0.14,0.04,0.09,0.03,0.04,0,0.04,0.1,0,29,41,14,3,6,38,41,41,31,9684,0.5,10,30,126,"Relatively Safe",3.3,"105479",3,19,0,1,0,0
10019,564,2195,7901,9876,3292,1975,4938,6584,3039,39505,0.45,0.11,0.03,0.03,0.08,0.13,0.05,0.04,0.08,0.01,39,37,30,10,14,18,8,14,39,39505,0.49,37,46,108,"Relatively Safe",3.6,"94477",18,25,0,0,1,0
10021,3233,9052,15087,11315,15087,6466,45261,22630,15087,NA,0.33,0.12,0.07,0.1,0.07,0.17,0.02,0.05,0.07,0,8,18,42,21,12,41,17,4,38,45261,0.55,17,44,81,"Relatively Safe",3.6,"115681",1,12,0,1,0,0
10022,605,1681,15131,10087,4323,3783,NA,6052,3783,NA,0.5,0.18,0.02,0.03,0.07,0.08,0,0.05,0.08,0,26,38,39,26,20,27,19,1,46,30262,0.55,19,29,55,"Safe",3.6,"123693",6,7,1,0,0,0
10023,4308,15077,30154,30154,12061,8615,30154,30154,15077,60307,0.33,0.09,0.05,0.05,0.12,0.16,0.05,0.05,0.09,0.02,10,27,34,38,12,17,4,6,42,60307,0.55,37,24,116,"Relatively Safe",3.7,"115080",12,13,0,1,0,0
10024,3901,8359,19505,19505,19505,14629,58516,19505,19505,58516,0.35,0.16,0.07,0.07,0.07,0.09,0.02,0.07,0.07,0.02,19,15,36,39,18,2,3,9,43,58516,0.54,34,32,148,"Relatively Dangerous",3.6,"118594",3,10,0,1,0,0
10025,10524,6766,11840,18943,15786,13531,13531,47358,15786,NA,0.14,0.22,0.12,0.08,0.09,0.11,0.11,0.03,0.09,0,22,16,24,41,38,9,7,12,41,94717,0.56,50,57,320,"Dangerous",3.5,"80025",2,29,0,0,1,0
10026,4282,NA,12847,38540,19270,38540,19270,19270,NA,NA,0.45,0,0.15,0.05,0.1,0.05,0.1,0.1,0,0,6,8,21,24,25,5,27,33,34,38540,0.53,23,26,353,"Dangerous",3.8,"52082",NA,31,0,0,1,0
10027,4275,12824,32060,64120,21373,12824,21373,10687,16030,NA,0.34,0.11,0.05,0.02,0.07,0.11,0.07,0.14,0.09,0,18,10,2,34,41,30,35,33,31,64120,0.53,51,42,309,"Dangerous",3.6,"42754",5,35,0,0,0,1
10028,3708,9641,48205,24102,9641,9641,24102,16068,8034,NA,0.31,0.12,0.02,0.05,0.12,0.12,0.05,0.07,0.14,0,28,22,37,16,26,25,12,7,40,48205,0.56,13,28,129,"Relatively Safe",3.7,"111302",6,16,0,1,0,0
10029,5672,39706,19853,39706,19853,NA,9926,39706,7941,79411,0.3,0.04,0.09,0.04,0.09,0,0.17,0.04,0.21,0.02,22,5,3,31,37,33,22,24,34,79411,0.54,46,71,456,"Dangerous",3.7,"32500",NA,41,0,0,0,1
10030,7590,NA,30358,NA,NA,NA,15179,15179,NA,NA,0.44,0,0.11,0,0,0,0.22,0.22,0,0,9,11,8,25,26,5,34,36,34,30358,0.52,18,20,214,"Relatively Dangerous",3.6,"33720",NA,40,0,0,0,1
10031,6753,15194,15194,30389,12156,60778,10130,60778,30389,NA,0.26,0.12,0.12,0.06,0.15,0.03,0.18,0.03,0.06,0,24,16,5,23,26,14,31,30,34,60778,0.5,29,51,208,"Relatively Dangerous",3.8,"41848",NA,36,0,0,0,1
10032,7021,63189,21063,63189,63189,63189,31594,NA,10532,63189,0.36,0.04,0.12,0.04,0.04,0.04,0.08,0,0.24,0.04,19,18,11,18,38,27,11,29,34,63189,0.5,41,57,196,"Relatively Dangerous",3.6,"40054",NA,37,0,0,0,1
10033,11871,NA,19784,59353,19784,59353,NA,NA,14838,NA,0.29,0,0.18,0.06,0.18,0.06,0,0,0.24,0,12,13,10,28,26,22,17,23,35,59353,0.49,19,59,194,"Relatively Dangerous",3.4,"46349",NA,32,0,0,0,1
10034,3996,43951,43951,14650,10988,21976,21976,NA,14650,NA,0.41,0.04,0.04,0.11,0.15,0.07,0.07,0,0.11,0,10,7,11,37,23,16,16,28,36,43951,0.52,19,35,151,"Relatively Dangerous",3.5,"45643",NA,34,0,0,0,1
10035,8547,34187,NA,17094,34187,NA,11396,NA,11396,NA,0.29,0.07,0,0.14,0.07,0,0.21,0,0.21,0,15,6,13,35,32,5,19,27,36,34187,0.5,20,36,378,"Dangerous",4,"26893",NA,43,0,0,0,1
10036,440,1999,6497,2362,1999,1999,8662,3248,2362,25987,0.43,0.1,0.03,0.08,0.1,0.1,0.02,0.06,0.08,0.01,41,43,20,7,8,10,15,32,37,25987,0.44,16,35,271,"Dangerous",3.6,"83812",51,27,0,0,1,0
10037,20112,NA,NA,NA,NA,NA,NA,20112,NA,NA,0.5,0,0,0,0,0,0,0.5,0,0,7,2,27,28,42,30,9,20,35,20112,0.56,11,15,168,"Relatively Dangerous",2,"39463",NA,38,0,0,0,1
10038,1593,5575,3717,22300,5575,22300,NA,11150,5575,NA,0.39,0.11,0.17,0.03,0.11,0.03,0,0.06,0.11,0,33,29,6,14,32,36,23,18,35,22300,0.53,18,20,70,"Relatively Safe",3.5,"82910",2,28,0,0,1,0
10039,27471,27471,13736,27471,NA,27471,13736,NA,NA,NA,0.12,0.12,0.25,0.12,0,0.12,0.25,0,0,0,5,1,8,40,35,23,29,35,32,27471,0.55,18,18,191,"Relatively Dangerous",4,"32257",NA,42,0,0,0,1
10040,5629,45033,22516,45033,11258,NA,45033,NA,15011,NA,0.4,0.05,0.1,0.05,0.2,0,0.05,0,0.15,0,21,13,17,32,34,11,19,16,38,45033,0.53,19,46,160,"Relatively Dangerous",3.5,"45811",NA,33,0,0,0,1
10044,NA,NA,11731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,16,33,19,30,20,19,6,11,40,11731,0.54,0,0,0,"Safe",2.5,"86483",NA,26,0,0,1,0
10065,1875,6000,30001,7500,4286,6000,NA,30001,4286,NA,0.35,0.11,0.02,0.09,0.15,0.11,0,0.02,0.15,0,14,26,34,22,17,19,37,5,40,30001,0.56,12,15,43,"Safe",3.6,"118310",4,11,0,1,0,0
10069,5231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3,9,41,13,5,3,39,40,34,5231,0.51,0,0,56,"Relatively Safe",5,"155702",NA,3,1,0,0,0
10075,11676,23353,23353,11676,7784,3892,23353,NA,4671,NA,0.1,0.05,0.05,0.1,0.14,0.29,0.05,0,0.24,0,35,25,31,42,20,27,2,3,46,23353,0.57,19,7,25,"Safe",3.8,"114481",1,14,0,1,0,0
10128,4847,12601,12601,63006,21002,15752,63006,31503,12601,NA,0.33,0.13,0.13,0.03,0.08,0.1,0.03,0.05,0.13,0,16,23,32,20,24,8,25,13,39,63006,0.57,11,34,124,"Relatively Safe",3.6,"103817",NA,21,0,1,0,0
10162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,43,43,1,39,40,2,41,1253,0.54,0,0,0,"Safe",NA,"178822",NA,2,1,0,0,0
10280,NA,NA,NA,NA,NA,9845,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,4,3,38,33,2,3,35,37,38,9845,0.5,2,4,1,"Safe",2.5,"146875",NA,4,1,0,0,0
