"zipcode","pop_american","pop_asian","pop_chinese","pop_dessert","pop_european","pop_italian","pop_mexican","pop_other","pop_quickmeal","pop_seafood","prop_american","prop_asian","prop_chinese","prop_desert","prop_european","prop_italian","prop_mexican","prop_other","prop_quickmeal","prop_seafood","below5","X5_14","X15_24","X25_34","X35_44","X45_54","X55_64","X65above","median.age","Total_Population","Female.per","Transportation.stations","markets","crime","crime_level","Average_yelp","Median_income","Theatre","income_rank","class_1","class_2","class_3","class_4"
10002,2440,7810,2297,9762,11157,15619,19524,78096,7100,78096,0.28,0.09,0.3,0.07,0.06,0.04,0.04,0.01,0.1,0.01,34,20,25,36,35,11,5,8,41,78096,0.52,41,72,430,"Dangerous",3.6,"35594",4,39,0,0,0,1
10003,1071,1456,14192,5677,6307,3784,5677,8110,6307,14192,0.33,0.24,0.02,0.06,0.06,0.09,0.06,0.04,0.06,0.02,37,40,1,11,26,40,31,30,32,56767,0.52,24,57,305,"Dangerous",3.6,"100791",24,24,0,1,0,0
10004,169,1015,3044,3044,3044,761,3044,NA,609,NA,0.53,0.09,0.03,0.03,0.03,0.12,0.03,0,0.15,0,42,24,18,9,7,21,12,38,34,3044,0.54,5,2,0,"Safe",3.8,"123056",NA,8,1,0,0,0
10005,1452,8710,NA,NA,4355,NA,NA,NA,4355,NA,0.55,0.09,0,0,0.18,0,0,0,0.18,0,29,31,3,2,3,42,43,42,30,8710,0.52,5,4,15,"Safe",4,"130116",NA,5,1,0,0,0
10006,364,3277,NA,NA,NA,NA,NA,NA,1638,NA,0.75,0.08,0,0,0,0,0,0,0.17,0,2,39,21,1,10,43,42,43,31,3277,0.58,4,4,18,"Safe",3.8,"125364",NA,6,1,0,0,0
10007,749,1123,NA,3370,2247,3370,6740,3370,3370,NA,0.33,0.22,0,0.07,0.11,0.07,0.04,0.07,0.07,0,27,4,33,19,3,1,31,39,36,6740,0.41,16,10,26,"Safe",3.4,"234958",NA,1,1,0,0,0
10009,1869,9966,29900,11960,7475,19933,19933,19933,6644,NA,0.45,0.08,0.03,0.07,0.11,0.04,0.04,0.04,0.13,0,43,27,16,12,38,23,9,19,36,59799,0.55,31,56,218,"Dangerous",3.5,"60788",4,30,0,0,1,0
10010,1264,5476,16427,16427,6571,6571,32854,16427,6571,NA,0.48,0.11,0.04,0.04,0.09,0.09,0.02,0.04,0.09,0,25,35,7,15,31,14,30,26,35,32854,0.49,30,32,184,"Relatively Dangerous",3.6,"110142",NA,17,0,1,0,0
10011,1146,4582,8401,5600,5600,3600,12601,16801,7201,50404,0.41,0.1,0.06,0.08,0.08,0.13,0.04,0.03,0.06,0.01,35,30,29,17,11,25,1,15,40,50404,0.5,24,55,252,"Dangerous",3.5,"114134",9,15,0,1,0,0
10012,646,2454,24536,2045,2726,1887,12268,3067,3067,12268,0.37,0.1,0.01,0.12,0.09,0.13,0.02,0.08,0.08,0.02,37,32,14,6,19,32,38,25,34,24536,0.49,9,24,234,"Dangerous",3.8,"101815",8,23,0,1,0,0
