ZIP,Yelp_star
10075,3.76
10128,3.62
10029,3.74
11414,3.93
10022,3.62
10011,3.54
11358,3.72
10019,3.65
11249,3.51
11368,3.46
11367,3.7
11372,3.78
10002,3.62
10010,3.56
11419,3.76
11218,3.94
10004,3.84
11215,3.55
11236,3.35
10009,3.5
11103,3.67
11375,3.73
10016,3.84
11206,3.47
10007,3.35
10012,3.83
10036,3.6
11231,3.81
10018,3.28
10003,3.63
10020,4.07
10014,3.52
10310,3.77
11104,3.7
10469,3.62
11418,3.7
11430,3.41
11366,3.63
11216,3.74
11209,3.83
11220,3.49
11101,3.84
10001,3.68
11210,3.81
11377,3.54
10028,3.65
11212,3.52
11214,3.43
10104,4
10462,3.25
11217,3.53
10038,3.51
10027,3.56
11232,3.63
11106,3.76
11213,3.72
10304,3.88
10023,3.71
11426,3.56
11238,3.57
10025,3.52
11105,3.37
10065,3.64
11378,3.8
11228,3.45
11225,3.68
10468,3.69
11229,3.35
10040,3.55
11205,3.64
10017,3.59
10305,3.67
10301,4
10013,3.62
10031,3.76
10302,3.68
10303,3.72
11233,3.79
11361,4.07
11211,3.66
11429,3.93
11420,3.15
11417,3.83
11230,3.72
11355,3.62
11385,3.61
11354,3.66
10312,3.91
10467,3.34
10271,4
11360,3.25
11432,3.75
10024,3.6
11374,3.77
11364,4.35
11237,3.91
11412,2.79
10464,3.83
10451,3.4
11434,3.53
11373,3.62
11235,3.88
10457,3.77
11201,3.85
11239,3.88
11428,3.86
10021,3.57
10452,3.8
11222,3.62
11223,3.81
11204,3.64
10458,3.63
11362,3.47
11208,3.67
11226,3.85
10032,3.6
11207,3.58
11203,3.67
11693,3.6
11694,3.89
10306,3.41
11691,3.77
11427,3.5
11224,3.38
10473,3.5
10006,3.75
10314,3.36
10453,3.38
10471,3.62
11356,3.8
11357,3.41
11370,3.21
11234,3.69
11221,3.46
10035,4.04
10474,3.6
10463,3.54
10454,3.06
10308,2.55
10281,3.67
11365,3.64
11102,3.72
10034,3.54
11435,3.62
11109,4
10470,4
10119,3.5
11040,3.57
10309,4.07
10459,3.66
11219,3.98
11421,3.84
11004,3.93
10026,3.83
10475,2.86
10030,3.56
10033,3.44
10466,3.94
10465,3.53
11415,3.9
11379,4.14
11413,4.67
10460,3.15
10455,3.96
11416,3.83
10456,3.92
10461,3.57
10121,4.1
11411,4.17
10005,4
10039,4
10044,2.5
10472,3.63
11422,3.86
11369,3.58
10112,4
11003,3.5
10280,2.5
11256,2.5
10037,2
11423,4.38
11692,3.5
11371,3.83
10069,5
10111,4.5
10153,5
10307,3.88
11001,3.5
11363,3.5
11005,2.5
11436,4.5
11352,3
10285,3
10174,5
10105,4.5
11433,5
