"zipcode","Pop.American","Pop.Asian","Pop.Chinese","Pop.Dessert","Pop.European","Pop.Italian","Pop.Mexiacan","Pop.Others","Pop.QuickMeal","Pop.Seafood","Prop.American","Prop.Asian","Prop.Chinese","Prop.Dessert","Prop.European","Prop.Italian","Prop.Mexiacan","Prop.Others","Prop.QuickMeal","Prop.Seafood","Population","Median Income","Median Age","Transportation","Markets","Crimes","Theatre","Yelp Star"
10002,2440.5,7809.6,2296.941176,9762,11156.57143,15619.2,19524,78096,7099.636364,78096,0.283185841,0.088495575,0.300884956,0.07079646,0.061946903,0.044247788,0.03539823,0.008849558,0.097345133,0.008849558,78096,35594,41.1,41,72,430,4,3.619469027
10003,1071.075472,1455.564103,14191.75,5676.7,6307.444444,3784.466667,5676.7,8109.571429,6307.444444,14191.75,0.33125,0.24375,0.025,0.0625,0.05625,0.09375,0.0625,0.04375,0.05625,0.025,56767,100791,32.2,24,57,305,24,3.63125
10004,169.1111111,1014.666667,3044,3044,3044,761,3044,NA,608.8,NA,0.529411765,0.088235294,0.029411765,0.029411765,0.029411765,0.117647059,0.029411765,0,0.147058824,0,3044,123056,33.9,5,2,0,NA,3.838235294
10005,1451.666667,8710,NA,NA,4355,NA,NA,NA,4355,NA,0.545454545,0.090909091,0,0,0.181818182,0,0,0,0.181818182,0,8710,130116,29.5,5,4,15,NA,4
10006,364.1111111,3277,NA,NA,NA,NA,NA,NA,1638.5,NA,0.75,0.083333333,0,0,0,0,0,0,0.166666667,0,3277,125364,31,4,4,18,NA,3.75
10007,748.8888889,1123.333333,NA,3370,2246.666667,3370,6740,3370,3370,NA,0.333333333,0.222222222,0,0.074074074,0.111111111,0.074074074,0.037037037,0.074074074,0.074074074,0,6740,234958,35.9,16,10,26,NA,3.351851852
10009,1868.71875,9966.5,29899.5,11959.8,7474.875,19933,19933,19933,6644.333333,NA,0.450704225,0.084507042,0.028169014,0.070422535,0.112676056,0.042253521,0.042253521,0.042253521,0.126760563,0,59799,60788,36.3,31,56,218,4,3.5
10010,1263.615385,5475.666667,16427,16427,6570.8,6570.8,32854,16427,6570.8,NA,0.481481481,0.111111111,0.037037037,0.037037037,0.092592593,0.092592593,0.018518519,0.037037037,0.092592593,0,32854,110142,35,30,32,184,NA,3.564814815
10011,1145.545455,4582.181818,8400.666667,5600.444444,5600.444444,3600.285714,12601,16801.33333,7200.571429,50404,0.407407407,0.101851852,0.055555556,0.083333333,0.083333333,0.12962963,0.037037037,0.027777778,0.064814815,0.009259259,50404,114134,39.9,24,55,252,9,3.541666667
10012,645.6842105,2453.6,24536,2044.666667,2726.222222,1887.384615,12268,3067,3067,12268,0.368932039,0.097087379,0.009708738,0.116504854,0.087378641,0.126213592,0.019417476,0.077669903,0.077669903,0.019417476,24536,101815,34.1,9,24,234,8,3.830097087
10013,854.8787879,1567.277778,940.3666667,3526.375,14105.5,1410.55,14105.5,14105.5,2170.076923,NA,0.2578125,0.140625,0.234375,0.0625,0.015625,0.15625,0.015625,0.015625,0.1015625,0,28211,104167,36.9,16,31,126,9,3.6171875
