"zipcode","Pop.American","Pop.Asian","Pop.Chinese","Pop.Dessert","Pop.European","Pop.Italian","Pop.Mexiacan","Pop.Others","Pop.QuickMeal","Pop.Seafood","Prop.American","Prop.Asian","Prop.Chinese","Prop.Dessert","Prop.European","Prop.Italian","Prop.Mexiacan","Prop.Others","Prop.QuickMeal","Prop.Seafood","Population","Median Income","Median Age","Transportation","Markets","Crimes","Theatre","Yelp Star"
10014,925.4117647,6292.8,15732,4494.857143,1966.5,3146.4,10488,5244,3933,10488,0.361702128,0.053191489,0.021276596,0.074468085,0.170212766,0.106382979,0.031914894,0.063829787,0.085106383,0.031914894,31464,119026,36.6,12,26,162,10,3.515957447
10016,1201.047619,2193.217391,5604.888889,50444,5604.888889,4585.818182,8407.333333,5044.4,10088.8,NA,0.362068966,0.198275862,0.077586207,0.00862069,0.077586207,0.094827586,0.051724138,0.086206897,0.043103448,0,50444,102703,33.3,24,40,65,6,3.844827586
10017,551.1,1033.3125,8266.5,3306.6,1653.3,2755.5,16533,16533,2066.625,NA,0.379746835,0.202531646,0.025316456,0.063291139,0.126582278,0.075949367,0.012658228,0.012658228,0.101265823,0,16533,106795,37.7,17,23,52,NA,3.594936709
10018,276.6857143,968.4,3228,1614,4842,3228,NA,3228,1383.428571,NA,0.507246377,0.144927536,0.043478261,0.086956522,0.028985507,0.043478261,0,0.043478261,0.101449275,0,9684,105479,31.2,10,30,126,3,3.282608696
10019,564.3571429,2194.722222,7901,9876.25,3292.083333,1975.25,4938.125,6584.166667,3038.846154,39505,0.445859873,0.114649682,0.031847134,0.025477707,0.076433121,0.127388535,0.050955414,0.038216561,0.082802548,0.006369427,39505,94477,39.2,37,46,108,18,3.649681529
10021,3232.928571,9052.2,15087,11315.25,15087,6465.857143,45261,22630.5,15087,NA,0.333333333,0.119047619,0.071428571,0.095238095,0.071428571,0.166666667,0.023809524,0.047619048,0.071428571,0,45261,115681,38.4,17,44,81,1,3.571428571
10022,605.24,1681.222222,15131,10087.33333,4323.142857,3782.75,NA,6052.4,3782.75,NA,0.495049505,0.178217822,0.01980198,0.02970297,0.069306931,0.079207921,0,0.04950495,0.079207921,0,30262,123693,45.9,19,29,55,6,3.623762376
10023,4307.642857,15076.75,30153.5,30153.5,12061.4,8615.285714,30153.5,30153.5,15076.75,60307,0.325581395,0.093023256,0.046511628,0.046511628,0.11627907,0.162790698,0.046511628,0.046511628,0.093023256,0.023255814,60307,115080,42.5,37,24,116,12,3.709302326
10024,3901.066667,8359.428571,19505.33333,19505.33333,19505.33333,14629,58516,19505.33333,19505.33333,58516,0.348837209,0.162790698,0.069767442,0.069767442,0.069767442,0.093023256,0.023255814,0.069767442,0.069767442,0.023255814,58516,118594,43,34,32,148,3,3.604651163
10025,10524.11111,6765.5,11839.625,18943.4,15786.16667,13531,13531,47358.5,15786.16667,NA,0.140625,0.21875,0.125,0.078125,0.09375,0.109375,0.109375,0.03125,0.09375,0,94717,80025,40.6,50,57,320,2,3.5234375
10026,4282.222222,NA,12846.66667,38540,19270,38540,19270,19270,NA,NA,0.45,0,0.15,0.05,0.1,0.05,0.1,0.1,0,0,38540,52082,34.4,23,26,353,NA,3.825
10027,4274.666667,12824,32060,64120,21373.33333,12824,21373.33333,10686.66667,16030,NA,0.340909091,0.113636364,0.045454545,0.022727273,0.068181818,0.113636364,0.068181818,0.136363636,0.090909091,0,64120,42754,30.6,51,42,309,5,3.556818182
10028,3708.076923,9641,48205,24102.5,9641,9641,24102.5,16068.33333,8034.166667,NA,0.30952381,0.119047619,0.023809524,0.047619048,0.119047619,0.119047619,0.047619048,0.071428571,0.142857143,0,48205,111302,39.6,13,28,129,6,3.654761905
10029,5672.214286,39705.5,19852.75,39705.5,19852.75,NA,9926.375,39705.5,7941.1,79411,0.29787234,0.042553191,0.085106383,0.042553191,0.085106383,0,0.170212766,0.042553191,0.212765957,0.021276596,79411,32500,33.6,46,71,456,NA,3.744680851
10030,7589.5,NA,30358,NA,NA,NA,15179,15179,NA,NA,0.444444444,0,0.111111111,0,0,0,0.222222222,0.222222222,0,0,30358,33720,34.1,18,20,214,NA,3.555555556
10031,6753.111111,15194.5,15194.5,30389,12155.6,60778,10129.66667,60778,30389,NA,0.264705882,0.117647059,0.117647059,0.058823529,0.147058824,0.029411765,0.176470588,0.029411765,0.058823529,0,60778,41848,34.4,29,51,208,NA,3.764705882
10032,7021,63189,21063,63189,63189,63189,31594.5,NA,10531.5,63189,0.36,0.04,0.12,0.04,0.04,0.04,0.08,0,0.24,0.04,63189,40054,34.2,41,57,196,NA,3.6
10033,11870.6,NA,19784.33333,59353,19784.33333,59353,NA,NA,14838.25,NA,0.294117647,0,0.176470588,0.058823529,0.176470588,0.058823529,0,0,0.235294118,0,59353,46349,35.4,19,59,194,NA,3.441176471
10034,3995.545455,43951,43951,14650.33333,10987.75,21975.5,21975.5,NA,14650.33333,NA,0.407407407,0.037037037,0.037037037,0.111111111,0.148148148,0.074074074,0.074074074,0,0.111111111,0,43951,45643,35.7,19,35,151,NA,3.537037037
10035,8546.75,34187,NA,17093.5,34187,NA,11395.66667,NA,11395.66667,NA,0.285714286,0.071428571,0,0.142857143,0.071428571,0,0.214285714,0,0.214285714,0,34187,26893,35.9,20,36,378,NA,4.035714286
10036,440.4576271,1999,6496.75,2362.454545,1999,1999,8662.333333,3248.375,2362.454545,25987,0.433823529,0.095588235,0.029411765,0.080882353,0.095588235,0.095588235,0.022058824,0.058823529,0.080882353,0.007352941,25987,83812,36.6,16,35,271,51,3.602941176
10037,20112,NA,NA,NA,NA,NA,NA,20112,NA,NA,0.5,0,0,0,0,0,0,0.5,0,0,20112,39463,34.9,11,15,168,NA,2
10038,1592.857143,5575,3716.666667,22300,5575,22300,NA,11150,5575,NA,0.388888889,0.111111111,0.166666667,0.027777778,0.111111111,0.027777778,0,0.055555556,0.111111111,0,22300,82910,34.6,18,20,70,2,3.513888889
10039,27471,27471,13735.5,27471,NA,27471,13735.5,NA,NA,NA,0.125,0.125,0.25,0.125,0,0.125,0.25,0,0,0,27471,32257,32.3,18,18,191,NA,4
10040,5629.125,45033,22516.5,45033,11258.25,NA,45033,NA,15011,NA,0.4,0.05,0.1,0.05,0.2,0,0.05,0,0.15,0,45033,45811,37.7,19,46,160,NA,3.55
10044,NA,NA,11731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,11731,86483,39.5,0,0,0,NA,2.5
10065,1875.0625,6000.2,30001,7500.25,4285.857143,6000.2,NA,30001,4285.857143,NA,0.347826087,0.108695652,0.02173913,0.086956522,0.152173913,0.108695652,0,0.02173913,0.152173913,0,30001,118310,39.5,12,15,43,4,3.641304348
10069,5231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,5231,155702,34.1,0,0,56,NA,5
10075,11676.5,23353,23353,11676.5,7784.333333,3892.166667,23353,NA,4670.6,NA,0.095238095,0.047619048,0.047619048,0.095238095,0.142857143,0.285714286,0.047619048,0,0.238095238,0,23353,114481,46.3,19,7,25,1,3.761904762
10128,4846.615385,12601.2,12601.2,63006,21002,15751.5,63006,31503,12601.2,NA,0.333333333,0.128205128,0.128205128,0.025641026,0.076923077,0.102564103,0.025641026,0.051282051,0.128205128,0,63006,103817,38.9,11,34,124,NA,3.615384615
10162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,178822,41.3,0,0,0,NA,NA
10280,NA,NA,NA,NA,NA,9845,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,9845,146875,37.5,2,4,1,NA,2.5
