ZIP,Type,Percentage
10075,American,0.095
10075,Asian,0.048
10075,Chinese,0.048
10075,Dessert,0.095
10075,European,0.143
10075,French,0
10075,Italian,0.286
10075,Mexcian,0.048
10075,Other,0
10075,QuickMeal,0.238
10075,Seafood,0
10128,American,0.333
10128,Asian,0.128
10128,Chinese,0.128
10128,Dessert,0.026
10128,European,0.077
10128,French,0
10128,Italian,0.103
10128,Mexcian,0.026
10128,Other,0.051
10128,QuickMeal,0.128
10128,Seafood,0
10029,American,0.298
10029,Asian,0.043
10029,Chinese,0.085
10029,Dessert,0.043
10029,European,0.085
10029,French,0
10029,Italian,0
10029,Mexcian,0.17
10029,Other,0.043
10029,QuickMeal,0.213
10029,Seafood,0.021
11414,American,0
11414,Asian,0.214
11414,Chinese,0.071
11414,Dessert,0.143
11414,European,0
11414,French,0
11414,Italian,0.357
11414,Mexcian,0
11414,Other,0
11414,QuickMeal,0.214
11414,Seafood,0
10022,American,0.495
10022,Asian,0.178
10022,Chinese,0.02
10022,Dessert,0.03
10022,European,0.069
10022,French,0
10022,Italian,0.079
10022,Mexcian,0
10022,Other,0.05
10022,QuickMeal,0.079
10022,Seafood,0
10011,American,0.407
10011,Asian,0.102
10011,Chinese,0.056
10011,Dessert,0.083
10011,European,0.083
10011,French,0
10011,Italian,0.13
10011,Mexcian,0.037
10011,Other,0.028
10011,QuickMeal,0.065
10011,Seafood,0.009
11358,American,0.093
11358,Asian,0.442
11358,Chinese,0.163
11358,Dessert,0.093
11358,European,0.07
11358,French,0
11358,Italian,0.047
11358,Mexcian,0
11358,Other,0
11358,QuickMeal,0.093
11358,Seafood,0
10019,American,0.446
10019,Asian,0.115
10019,Chinese,0.032
10019,Dessert,0.025
10019,European,0.076
10019,French,0
10019,Italian,0.127
10019,Mexcian,0.051
10019,Other,0.038
10019,QuickMeal,0.083
10019,Seafood,0.006
11249,American,0.395
11249,Asian,0.079
11249,Chinese,0.053
11249,Dessert,0.053
11249,European,0.105
11249,French,0.026
11249,Italian,0.105
11249,Mexcian,0.079
11249,Other,0.026
11249,QuickMeal,0.026
11249,Seafood,0.053
11368,American,0.343
11368,Asian,0
11368,Chinese,0.071
11368,Dessert,0.029
11368,European,0.2
11368,French,0
11368,Italian,0.029
11368,Mexcian,0.157
11368,Other,0.071
11368,QuickMeal,0.1
11368,Seafood,0
11367,American,0.133
11367,Asian,0.067
11367,Chinese,0.133
11367,Dessert,0.067
11367,European,0.067
11367,French,0
11367,Italian,0
11367,Mexcian,0
11367,Other,0.467
11367,QuickMeal,0.067
11367,Seafood,0
11372,American,0.308
11372,Asian,0.165
11372,Chinese,0.055
11372,Dessert,0.022
11372,European,0.154
