ZIP,Type,Percentage
10007,5_14,0.118
10007,15_24,0.068
10007,25_34,0.245
10007,35_44,0.215
10007,45_54,0.16
10007,55_64,0.1
10007,65above,0.05
10012,Below5,0.031
10012,5_15,0.047
10012,15_25,0.132
10012,25_35,0.311
10012,35_45,0.152
10012,45_55,0.114
10012,55_65,0.089
10012,65above,0.124
10036,Below5,0.029
10036,5_14,0.019
10036,15_24,0.119
10036,25_34,0.298
10036,35_44,0.178
10036,45_54,0.141
10036,55_64,0.117
10036,65above,0.099
11231,Below5,0.076
11231,5_15,0.103
11231,15_25,0.081
11231,25_35,0.211
11231,35_45,0.184
11231,45_55,0.129
11231,55_65,0.115
11231,65above,0.101
10018,Below5,0.041
10018,5_14,0.022
10018,15_24,0.132
10018,25_34,0.416
10018,35_44,0.192
10018,45_54,0.095
10018,55_64,0.07
10018,65above,0.032
10003,Below5,0.031
10003,5_15,0.025
10003,15_25,0.231
10003,25_35,0.271
10003,35_45,0.142
10003,45_55,0.091
10003,55_65,0.1
10003,65above,0.109
10020,Below5,NA
10020,5_14,NA
10020,15_24,NA
10020,25_34,NA
10020,35_44,NA
10020,45_54,NA
10020,55_64,NA
10020,65above,NA
10014,Below5,0.03
10014,5_15,0.044
10014,15_25,0.051
10014,25_35,0.334
10014,35_45,0.163
10014,45_55,0.138
10014,55_65,0.106
10014,65above,0.134
10310,Below5,0.068
10310,5_14,0.15
10310,15_24,0.145
10310,25_34,0.128
10310,35_44,0.124
10310,45_54,0.15
10310,55_64,0.127
10310,65above,0.108
11104,Below5,0.054
11104,5_15,0.075
11104,15_25,0.081
11104,25_35,0.21
11104,35_45,0.199
11104,45_55,0.136
11104,55_65,0.119
11104,65above,0.126
10469,Below5,0.052
10469,5_14,0.12
10469,15_24,0.151
10469,25_34,0.131
10469,35_44,0.129
10469,45_54,0.147
10469,55_64,0.116
10469,65above,0.154
11418,Below5,0.071
11418,5_15,0.134
11418,15_25,0.147
11418,25_35,0.165
11418,35_45,0.137
11418,45_55,0.147
11418,55_65,0.108
11418,65above,0.091
11430,Below5,0.022
11430,5_14,0
11430,15_24,0.156
11430,25_34,0.117
11430,35_44,0.246
11430,45_54,0.302
11430,55_64,0.129
11430,65above,0.028
11366,Below5,0.058
11366,5_15,0.104
11366,15_25,0.146
11366,25_35,0.125
11366,35_45,0.127
11366,45_55,0.134
11366,55_65,0.142
11366,65above,0.164
11216,Below5,0.049
11216,5_14,0.08
11216,15_24,0.134
11216,25_34,0.263
11216,35_44,0.145
11216,45_54,0.118
11216,55_64,0.108
11216,65above,0.103
11209,Below5,0.064
11209,5_15,0.097
11209,15_25,0.096
11209,25_35,0.175
11209,35_45,0.141
11209,45_55,0.145
11209,55_65,0.125
11209,65above,0.157
11220,Below5,0.082
11220,5_14,0.136
11220,15_24,0.12
11220,25_34,0.192
11220,35_44,0.157
11220,45_54,0.125
11220,55_64,0.094
11220,65above,0.094
11101,Below5,0.054
11101,5_15,0.079
11101,15_25,0.116
11101,25_35,0.231
11101,35_45,0.174
11101,45_55,0.143
11101,55_65,0.104
11101,65above,0.099
10001,Below5,0.021
10001,5_14,0.076
10001,15_24,0.158
10001,25_34,0.222
10001,35_44,0.167
10001,45_54,0.125
10001,55_64,0.112
10001,65above,0.119
11210,Below5,0.069
11210,5_15,0.147
11210,15_25,0.153
11210,25_35,0.135
11210,35_45,0.138
11210,45_55,0.124
11210,55_65,0.12
11210,65above,0.114
11377,Below5,0.055
11377,5_14,0.108
11377,15_24,0.11
11377,25_34,0.183
11377,35_44,0.172
11377,45_54,0.139
11377,55_64,0.105
11377,65above,0.128
10028,Below5,0.043
10028,5_15,0.08
10028,15_25,0.054
10028,25_35,0.257
10028,35_45,0.142
10028,45_55,0.122
10028,55_65,0.118
10028,65above,0.184
11212,Below5,0.083
11212,5_14,0.135
11212,15_24,0.144
11212,25_34,0.161
11212,35_44,0.128
11212,45_54,0.135
11212,55_64,0.101
11212,65above,0.113
11214,Below5,0.063
11214,5_15,0.106
11214,15_25,0.11
11214,25_35,0.16
11214,35_45,0.141
11214,45_55,0.137
11214,55_65,0.127
11214,65above,0.156
10104,Below5,NA
10104,5_14,NA
10104,15_24,NA
10104,25_34,NA
10104,35_44,NA
10104,45_54,NA
10104,55_64,NA
10104,65above,NA
10462,Below5,0.068
10462,5_15,0.128
10462,15_25,0.129
10462,25_35,0.173
10462,35_45,0.145
10462,45_55,0.132
10462,55_65,0.113
10462,65above,0.112
11217,Below5,0.073
11217,5_14,0.076
11217,15_24,0.076
11217,25_34,0.264
11217,35_44,0.19
11217,45_54,0.117
11217,55_64,0.098
11217,65above,0.106
10038,Below5,0.037
10038,5_15,0.054
10038,15_25,0.155
10038,25_35,0.262
10038,35_45,0.139
10038,45_55,0.104
10038,55_65,0.108
10038,65above,0.141
10027,Below5,0.053
10027,5_14,0.098
10027,15_24,0.225
10027,25_34,0.187
10027,35_44,0.126
10027,45_54,0.118
10027,55_64,0.098
10027,65above,0.095
11232,Below5,0.06
11232,5_15,0.125
11232,15_25,0.135
11232,25_35,0.223
11232,35_45,0.16
11232,45_55,0.143
11232,55_65,0.081
11232,65above,0.073
11106,Below5,0.05
11106,5_14,0.079
11106,15_24,0.092
11106,25_34,0.253
11106,35_44,0.189
11106,45_54,0.123
11106,55_64,0.086
11106,65above,0.128
11213,Below5,0.075
11213,5_15,0.129
11213,15_25,0.156
11213,25_35,0.165
11213,35_45,0.126
11213,45_55,0.128
11213,55_65,0.113
11213,65above,0.108
10304,Below5,0.059
10304,5_14,0.137
10304,15_24,0.152
10304,25_34,0.136
10304,35_44,0.127
10304,45_54,0.124
10304,55_64,0.126
10304,65above,0.139
10023,Below5,0.067
10023,5_15,0.059
10023,15_25,0.063
10023,25_35,0.182
10023,35_45,0.168
10023,45_55,0.132
10023,55_65,0.13
10023,65above,0.199
11426,Below5,0.082
11426,5_14,0.104
11426,15_24,0.125
11426,25_34,0.159
11426,35_44,0.101
11426,45_54,0.135
11426,55_64,0.15
11426,65above,0.144
11238,Below5,0.058
11238,5_15,0.079
11238,15_25,0.088
11238,25_35,0.261
11238,35_45,0.174
11238,45_55,0.11
11238,55_65,0.111
11238,65above,0.119
10025,Below5,0.05
10025,5_14,0.083
10025,15_24,0.117
10025,25_34,0.176
10025,35_44,0.131
10025,45_54,0.142
10025,55_64,0.127
10025,65above,0.174
11105,Below5,0.049
11105,5_15,0.073
11105,15_25,0.114
11105,25_35,0.268
11105,35_45,0.149
11105,45_55,0.128
11105,55_65,0.103
11105,65above,0.116
10065,Below5,0.06
10065,5_14,0.065
10065,15_24,0.063
10065,25_34,0.224
10065,35_44,0.16
10065,45_54,0.126
10065,55_64,0.097
10065,65above,0.205
11378,Below5,0.062
11378,5_15,0.111
11378,15_25,0.121
11378,25_35,0.161
11378,35_45,0.138
11378,45_55,0.138
11378,55_65,0.138
11378,65above,0.131
11228,Below5,0.07
11228,5_14,0.107
11228,15_24,0.114
11228,25_34,0.147
11228,35_44,0.139
11228,45_54,0.139
11228,55_64,0.128
11228,65above,0.156
11225,Below5,0.067
11225,5_15,0.108
11225,15_25,0.127
11225,25_35,0.209
11225,35_45,0.134
11225,45_55,0.117
11225,55_65,0.12
11225,65above,0.118
10468,Below5,0.09
10468,5_14,0.13
10468,15_24,0.158
10468,25_34,0.175
10468,35_44,0.126
10468,45_54,0.131
10468,55_64,0.101
10468,65above,0.089
11229,Below5,0.063
11229,5_15,0.114
11229,15_25,0.119
11229,25_35,0.131
11229,35_45,0.123
11229,45_55,0.135
11229,55_65,0.146
11229,65above,0.169
10040,Below5,0.051
10040,5_14,0.09
10040,15_24,0.13
10040,25_34,0.192
10040,35_44,0.138
10040,45_54,0.14
10040,55_64,0.113
10040,65above,0.146
11205,Below5,0.094
11205,5_15,0.148
11205,15_25,0.169
11205,25_35,0.196
11205,35_45,0.148
11205,45_55,0.093
11205,55_65,0.077
11205,65above,0.075
10017,Below5,0.041
10017,5_14,0.021
10017,15_24,0.082
10017,25_34,0.294
10017,35_44,0.165
10017,45_54,0.108
10017,55_64,0.108
10017,65above,0.181
10305,Below5,0.06
10305,5_15,0.116
10305,15_25,0.11
10305,25_35,0.148
10305,35_45,0.14
10305,45_55,0.144
10305,55_65,0.139
10305,65above,0.143
10301,Below5,0.071
10301,5_14,0.129
10301,15_24,0.154
10301,25_34,0.116
10301,35_44,0.134
10301,45_54,0.143
10301,55_64,0.125
10301,65above,0.128
10013,Below5,0.062
10013,5_15,0.081
10013,15_25,0.11
10013,25_35,0.21
10013,35_45,0.173
10013,45_55,0.111
10013,55_65,0.118
10013,65above,0.135
10031,Below5,0.048
10031,5_14,0.083
10031,15_24,0.16
10031,25_34,0.223
10031,35_44,0.142
10031,45_54,0.135
10031,55_64,0.1
10031,65above,0.109
10302,Below5,0.064
10302,5_15,0.138
10302,15_25,0.131
10302,25_35,0.183
10302,35_45,0.114
10302,45_55,0.144
10302,55_65,0.118
10302,65above,0.108
10303,Below5,0.067
10303,5_14,0.143
10303,15_24,0.17
10303,25_34,0.149
10303,35_44,0.12
10303,45_54,0.148
10303,55_64,0.11
10303,65above,0.093
11233,Below5,0.075
11233,5_15,0.139
11233,15_25,0.15
11233,25_35,0.162
11233,35_45,0.134
11233,45_55,0.138
11233,55_65,0.092
11233,65above,0.11
11361,Below5,0.049
11361,5_14,0.102
11361,15_24,0.111
11361,25_34,0.148
11361,35_44,0.15
11361,45_54,0.143
11361,55_64,0.138
11361,65above,0.159
11211,Below5,0.103
11211,5_15,0.117
11211,15_25,0.119
11211,25_35,0.276
11211,35_45,0.148
11211,45_55,0.085
11211,55_65,0.072
11211,65above,0.08
11429,Below5,0.042
11429,5_14,0.112
11429,15_24,0.148
11429,25_34,0.143
11429,35_44,0.133
11429,45_54,0.153
11429,55_64,0.133
11429,65above,0.136
11420,Below5,0.055
11420,5_15,0.129
11420,15_25,0.158
11420,25_35,0.138
11420,35_45,0.139
11420,45_55,0.154
11420,55_65,0.122
11420,65above,0.105
11417,Below5,0.06
11417,5_14,0.121
11417,15_24,0.146
11417,25_34,0.146
11417,35_44,0.132
11417,45_54,0.162
11417,55_64,0.127
11417,65above,0.106
11230,Below5,0.089
11230,5_15,0.149
11230,15_25,0.133
11230,25_35,0.14
11230,35_45,0.118
11230,45_55,0.11
11230,55_65,0.116
11230,65above,0.145
11355,Below5,0.048
11355,5_14,0.091
11355,15_24,0.109
11355,25_34,0.152
11355,35_44,0.142
11355,45_54,0.163
11355,55_64,0.135
11355,65above,0.16
11385,Below5,0.065
11385,5_15,0.119
11385,15_25,0.135
11385,25_35,0.174
11385,35_45,0.152
11385,45_55,0.137
11385,55_65,0.119
11385,65above,0.099
11354,Below5,0.05
11354,5_14,0.084
11354,15_24,0.094
11354,25_34,0.157
11354,35_44,0.128
11354,45_54,0.162
11354,55_64,0.151
11354,65above,0.174
10312,Below5,0.052
10312,5_15,0.121
10312,15_25,0.125
10312,25_35,0.113
10312,35_45,0.133
10312,45_55,0.145
10312,55_65,0.144
10312,65above,0.167
10467,Below5,0.084
10467,5_14,0.136
10467,15_24,0.14
10467,25_34,0.167
10467,35_44,0.132
10467,45_54,0.13
10467,55_64,0.1
10467,65above,0.111
10271,Below5,NA
10271,5_15,NA
10271,15_25,NA
10271,25_35,NA
10271,35_45,NA
10271,45_55,NA
10271,55_65,NA
10271,65above,NA
11360,Below5,0.048
11360,5_14,0.092
11360,15_24,0.081
11360,25_34,0.095
11360,35_44,0.143
11360,45_54,0.136
11360,55_64,0.152
11360,65above,0.253
11432,Below5,0.068
11432,5_15,0.118
11432,15_25,0.164
11432,25_35,0.147
11432,35_45,0.13
11432,45_55,0.125
11432,55_65,0.116
11432,65above,0.132
10024,Below5,0.052
10024,5_14,0.084
10024,15_24,0.057
10024,25_34,0.181
10024,35_44,0.159
10024,45_54,0.154
10024,55_64,0.132
10024,65above,0.181
11374,Below5,0.052
11374,5_15,0.075
11374,15_25,0.084
11374,25_35,0.167
11374,35_45,0.136
11374,45_55,0.129
11374,55_65,0.17
11374,65above,0.187
11364,Below5,0.051
11364,5_14,0.103
11364,15_24,0.1
11364,25_34,0.115
11364,35_44,0.136
11364,45_54,0.16
11364,55_64,0.151
11364,65above,0.184
11237,Below5,0.065
11237,5_15,0.124
11237,15_25,0.176
11237,25_35,0.243
11237,35_45,0.155
11237,45_55,0.108
11237,55_65,0.071
11237,65above,0.058
11412,Below5,0.06
11412,5_14,0.121
11412,15_24,0.146
11412,25_34,0.129
11412,35_44,0.115
11412,45_54,0.156
11412,55_64,0.137
11412,65above,0.136
10464,Below5,0.035
10464,5_15,0.128
10464,15_25,0.117
10464,25_35,0.086
10464,35_45,0.099
10464,45_55,0.174
10464,55_65,0.116
10464,65above,0.245
10451,Below5,0.078
10451,5_14,0.15
10451,15_24,0.163
10451,25_34,0.148
10451,35_44,0.12
10451,45_54,0.13
10451,55_64,0.098
10451,65above,0.113
11434,Below5,0.067
11434,5_15,0.123
11434,15_25,0.142
11434,25_35,0.147
11434,35_45,0.126
11434,45_55,0.143
11434,55_65,0.114
11434,65above,0.138
11373,Below5,0.065
11373,5_14,0.1
11373,15_24,0.112
11373,25_34,0.18
11373,35_44,0.161
11373,45_54,0.131
11373,55_64,0.124
11373,65above,0.127
11235,Below5,0.057
11235,5_15,0.098
11235,15_25,0.095
11235,25_35,0.133
11235,35_45,0.132
11235,45_55,0.137
11235,55_65,0.134
11235,65above,0.214
10457,Below5,0.092
10457,5_14,0.163
10457,15_24,0.166
10457,25_34,0.154
10457,35_44,0.128
10457,45_54,0.128
10457,55_64,0.086
10457,65above,0.083
11201,Below5,0.07
11201,5_15,0.068
11201,15_25,0.101
11201,25_35,0.259
11201,35_45,0.184
11201,45_55,0.116
11201,55_65,0.09
11201,65above,0.112
11239,Below5,0.047
11239,5_14,0.1
11239,15_24,0.1
11239,25_34,0.117
11239,35_44,0.104
11239,45_54,0.119
11239,55_64,0.121
11239,65above,0.292
11428,Below5,0.049
11428,5_15,0.106
11428,15_25,0.143
11428,25_35,0.137
11428,35_45,0.135
11428,45_55,0.17
11428,55_65,0.134
11428,65above,0.126
10021,Below5,0.072
10021,5_14,0.082
10021,15_24,0.04
10021,25_34,0.228
10021,35_44,0.168
10021,45_54,0.089
10021,55_64,0.114
10021,65above,0.207
10452,Below5,0.079
10452,5_15,0.165
10452,15_25,0.166
10452,25_35,0.155
10452,35_45,0.133
10452,45_55,0.131
10452,55_65,0.095
10452,65above,0.076
11222,Below5,0.039
11222,5_14,0.049
11222,15_24,0.088
11222,25_34,0.335
11222,35_44,0.174
11222,45_54,0.111
11222,55_64,0.106
11222,65above,0.098
11223,Below5,0.085
11223,5_15,0.119
11223,15_25,0.126
11223,25_35,0.157
11223,35_45,0.124
11223,45_55,0.12
11223,55_65,0.114
11223,65above,0.155
11204,Below5,0.088
11204,5_14,0.148
11204,15_24,0.123
11204,25_34,0.144
11204,35_44,0.132
11204,45_54,0.116
11204,55_64,0.118
11204,65above,0.131
10458,Below5,0.082
10458,5_15,0.146
10458,15_25,0.204
10458,25_35,0.16
10458,35_45,0.131
10458,45_55,0.116
10458,55_65,0.089
10458,65above,0.072
11362,Below5,0.058
11362,5_14,0.09
11362,15_24,0.093
11362,25_34,0.121
11362,35_44,0.136
11362,45_54,0.137
11362,55_64,0.157
11362,65above,0.208
11208,Below5,0.083
11208,5_15,0.145
11208,15_25,0.159
11208,25_35,0.157
11208,35_45,0.131
11208,45_55,0.136
11208,55_65,0.108
11208,65above,0.081
11226,Below5,0.07
11226,5_14,0.128
11226,15_24,0.134
11226,25_34,0.182
11226,35_44,0.14
11226,45_54,0.123
11226,55_64,0.112
11226,65above,0.111
10032,Below5,0.052
10032,5_15,0.082
10032,15_25,0.136
10032,25_35,0.246
10032,35_45,0.131
10032,45_55,0.12
10032,55_65,0.119
10032,65above,0.114
11207,Below5,0.072
11207,5_14,0.142
11207,15_24,0.163
11207,25_34,0.157
11207,35_44,0.122
11207,45_54,0.135
11207,55_64,0.111
11207,65above,0.098
11203,Below5,0.059
11203,5_15,0.116
11203,15_25,0.131
11203,25_35,0.137
11203,35_45,0.125
11203,45_55,0.135
11203,55_65,0.129
11203,65above,0.168
11693,Below5,0.071
11693,5_14,0.112
11693,15_24,0.12
11693,25_34,0.137
11693,35_44,0.127
11693,45_54,0.178
11693,55_64,0.131
11693,65above,0.124
11694,Below5,0.058
11694,5_15,0.119
11694,15_25,0.096
11694,25_35,0.118
11694,35_45,0.098
11694,45_55,0.157
11694,55_65,0.15
11694,65above,0.204
10306,Below5,0.048
10306,5_14,0.117
10306,15_24,0.124
10306,25_34,0.119
10306,35_44,0.131
10306,45_54,0.146
10306,55_64,0.144
10306,65above,0.171
11691,Below5,0.109
11691,5_15,0.158
11691,15_25,0.138
11691,25_35,0.134
11691,35_45,0.113
11691,45_55,0.118
11691,55_65,0.106
11691,65above,0.124
11427,Below5,0.065
11427,5_14,0.089
11427,15_24,0.123
11427,25_34,0.121
11427,35_44,0.139
11427,45_54,0.148
11427,55_64,0.154
11427,65above,0.161
11224,Below5,0.05
11224,5_15,0.102
11224,15_25,0.114
11224,25_35,0.114
11224,35_45,0.106
11224,45_55,0.119
11224,55_65,0.15
11224,65above,0.245
10473,Below5,0.058
10473,5_14,0.139
10473,15_24,0.162
10473,25_34,0.133
10473,35_44,0.118
10473,45_54,0.14
10473,55_64,0.12
10473,65above,0.13
10006,Below5,0.098
10006,5_15,0.026
10006,15_25,0.118
10006,25_35,0.452
10006,35_45,0.171
10006,45_55,0.069
10006,55_65,0.066
10006,65above,0
10314,Below5,0.058
10314,5_14,0.115
10314,15_24,0.118
10314,25_34,0.133
10314,35_44,0.123
10314,45_54,0.149
10314,55_64,0.136
10314,65above,0.168
10453,Below5,0.078
10453,5_15,0.154
10453,15_25,0.177
10453,25_35,0.16
10453,35_45,0.121
10453,45_55,0.135
10453,55_65,0.096
10453,65above,0.079
10471,Below5,0.059
10471,5_14,0.087
10471,15_24,0.139
10471,25_34,0.127
10471,35_44,0.116
10471,45_54,0.12
10471,55_64,0.132
10471,65above,0.22
11356,Below5,0.081
11356,5_15,0.113
11356,15_25,0.137
11356,25_35,0.154
11356,35_45,0.127
11356,45_55,0.143
11356,55_65,0.127
11356,65above,0.118
11357,Below5,0.058
11357,5_14,0.105
11357,15_24,0.097
11357,25_34,0.111
11357,35_44,0.126
11357,45_54,0.141
11357,55_64,0.14
11357,65above,0.222
11370,Below5,0.045
11370,5_15,0.081
11370,15_25,0.17
11370,25_35,0.174
11370,35_45,0.154
11370,45_55,0.153
11370,55_65,0.107
11370,65above,0.116
11234,Below5,0.057
11234,5_14,0.131
11234,15_24,0.125
11234,25_34,0.131
11234,35_44,0.122
11234,45_54,0.138
11234,55_64,0.144
11234,65above,0.152
11221,Below5,0.072
11221,5_15,0.113
11221,15_25,0.168
11221,25_35,0.2
11221,35_45,0.134
11221,45_55,0.125
11221,55_65,0.094
11221,65above,0.094
10035,Below5,0.059
10035,5_14,0.104
10035,15_24,0.135
10035,25_34,0.186
10035,35_44,0.139
10035,45_54,0.145
10035,55_64,0.113
10035,65above,0.119
10474,Below5,0.075
10474,5_15,0.165
10474,15_25,0.176
10474,25_35,0.187
10474,35_45,0.128
10474,45_55,0.144
10474,55_65,0.059
10474,65above,0.066
10463,Below5,0.074
10463,5_14,0.117
10463,15_24,0.109
10463,25_34,0.165
10463,35_44,0.132
10463,45_54,0.123
10463,55_64,0.112
10463,65above,0.168
10454,Below5,0.084
10454,5_15,0.177
10454,15_25,0.188
10454,25_35,0.146
10454,35_45,0.134
10454,45_55,0.112
10454,55_65,0.074
10454,65above,0.085
10308,Below5,0.049
10308,5_14,0.112
10308,15_24,0.124
10308,25_34,0.119
10308,35_44,0.134
10308,45_54,0.166
10308,55_64,0.134
10308,65above,0.162
10281,Below5,NA
10281,5_15,NA
10281,15_25,NA
10281,25_35,NA
10281,35_45,NA
10281,45_55,NA
10281,55_65,NA
10281,65above,NA
11365,Below5,0.073
11365,5_14,0.11
11365,15_24,0.108
11365,25_34,0.13
11365,35_44,0.131
11365,45_54,0.163
11365,55_64,0.138
11365,65above,0.147
11102,Below5,0.048
11102,5_15,0.078
11102,15_25,0.122
11102,25_35,0.279
11102,35_45,0.152
11102,45_55,0.123
11102,55_65,0.092
11102,65above,0.106
10034,Below5,0.067
10034,5_14,0.102
10034,15_24,0.136
10034,25_34,0.183
10034,35_44,0.145
10034,45_54,0.134
10034,55_64,0.115
10034,65above,0.118
11435,Below5,0.067
11435,5_15,0.116
11435,15_25,0.116
11435,25_35,0.19
11435,35_45,0.143
11435,45_55,0.141
11435,55_65,0.119
11435,65above,0.108
11109,Below5,0.101
11109,5_14,0.025
11109,15_24,0.031
11109,25_34,0.484
11109,35_44,0.202
11109,45_54,0.088
11109,55_64,0.046
11109,65above,0.023
10470,Below5,0.059
10470,5_15,0.1
10470,15_25,0.114
10470,25_35,0.165
10470,35_45,0.126
10470,45_55,0.147
10470,55_65,0.123
10470,65above,0.166
10119,Below5,NA
10119,5_14,NA
10119,15_24,NA
10119,25_34,NA
10119,35_44,NA
10119,45_54,NA
10119,55_64,NA
10119,65above,NA
11040,Below5,0.053
11040,5_15,0.121
11040,15_25,0.118
11040,25_35,0.106
11040,35_45,0.118
11040,45_55,0.157
11040,55_65,0.139
11040,65above,0.188
10309,Below5,0.056
10309,5_14,0.139
10309,15_24,0.119
10309,25_34,0.124
10309,35_44,0.152
10309,45_54,0.143
10309,55_64,0.142
10309,65above,0.125
10459,Below5,0.082
10459,5_15,0.156
10459,15_25,0.173
10459,25_35,0.161
10459,35_45,0.121
10459,45_55,0.12
10459,55_65,0.097
10459,65above,0.09
11219,Below5,0.123
11219,5_14,0.181
11219,15_24,0.147
11219,25_34,0.153
11219,35_44,0.113
11219,45_54,0.09
11219,55_64,0.087
11219,65above,0.106
11421,Below5,0.071
11421,5_15,0.118
11421,15_25,0.148
11421,25_35,0.148
11421,35_45,0.136
11421,45_55,0.144
11421,55_65,0.129
11421,65above,0.106
11004,Below5,0.054
11004,5_14,0.072
11004,15_24,0.127
11004,25_34,0.15
11004,35_44,0.096
11004,45_54,0.152
11004,55_64,0.169
11004,65above,0.18
10026,Below5,0.079
10026,5_15,0.101
10026,15_25,0.118
10026,25_35,0.215
10026,35_45,0.143
10026,45_55,0.145
10026,55_65,0.104
10026,65above,0.095
10475,Below5,0.044
10475,5_14,0.097
10475,15_24,0.136
10475,25_34,0.088
10475,35_44,0.125
10475,45_54,0.148
10475,55_64,0.142
10475,65above,0.22
10030,Below5,0.071
10030,5_15,0.095
10030,15_25,0.147
10030,25_35,0.212
10030,35_45,0.142
10030,45_55,0.145
10030,55_65,0.099
10030,65above,0.089
10033,Below5,0.062
10033,5_14,0.09
10033,15_24,0.143
10033,25_34,0.198
10033,35_44,0.142
10033,45_54,0.124
10033,55_64,0.114
10033,65above,0.127
10466,Below5,0.067
10466,5_15,0.127
10466,15_25,0.156
10466,25_35,0.135
10466,35_45,0.126
10466,45_55,0.143
10466,55_65,0.121
10466,65above,0.125
10465,Below5,0.056
10465,5_14,0.11
10465,15_24,0.145
10465,25_34,0.115
10465,35_44,0.13
10465,45_54,0.138
10465,55_64,0.137
10465,65above,0.169
11415,Below5,0.061
11415,5_15,0.107
11415,15_25,0.101
11415,25_35,0.176
11415,35_45,0.152
11415,45_55,0.132
11415,55_65,0.127
11415,65above,0.144
11379,Below5,0.047
11379,5_14,0.114
11379,15_24,0.087
11379,25_34,0.127
11379,35_44,0.152
11379,45_54,0.143
11379,55_64,0.142
11379,65above,0.188
11413,Below5,0.058
