ZIP,Type,Percentage
10075,Below5,0.035
10075,5_14,0.067
10075,15_24,0.073
10075,25_34,0.167
10075,35_44,0.151
10075,45_54,0.12
10075,55_64,0.138
10075,65above,0.249
10128,Below5,0.057
10128,5_15,0.077
10128,15_25,0.072
10128,25_35,0.233
10128,35_45,0.144
10128,45_55,0.143
10128,55_65,0.107
10128,65above,0.167
10029,Below5,0.05
10029,5_14,0.115
10029,15_24,0.162
10029,25_34,0.194
10029,35_44,0.132
10029,45_54,0.112
10029,55_64,0.109
10029,65above,0.126
11414,Below5,0.052
11414,5_15,0.113
11414,15_25,0.095
11414,25_35,0.095
11414,35_45,0.144
11414,45_55,0.145
11414,55_65,0.145
11414,65above,0.211
10022,Below5,0.045
10022,5_14,0.03
10022,15_24,0.052
10022,25_34,0.21
10022,35_44,0.151
10022,45_54,0.12
10022,55_64,0.113
10022,65above,0.279
10011,Below5,0.035
10011,5_15,0.05
10011,15_25,0.078
10011,25_35,0.251
10011,35_45,0.17
10011,45_55,0.122
10011,55_65,0.142
10011,65above,0.152
11358,Below5,0.048
11358,5_14,0.096
11358,15_24,0.104
11358,25_34,0.148
11358,35_44,0.138
11358,45_54,0.16
11358,55_64,0.143
11358,65above,0.163
10019,Below5,0.03
10019,5_15,0.033
10019,15_25,0.076
10019,25_35,0.286
10019,35_45,0.167
10019,45_55,0.128
10019,55_65,0.125
10019,65above,0.155
11249,Below5,NA
11249,5_14,NA
11249,15_24,NA
11249,25_34,NA
11249,35_44,NA
11249,45_54,NA
11249,55_64,NA
11249,65above,NA
11368,Below5,0.093
11368,5_15,0.137
11368,15_25,0.136
11368,25_35,0.192
11368,35_45,0.164
11368,45_55,0.108
11368,55_65,0.084
11368,65above,0.086
11367,Below5,0.088
11367,5_14,0.112
11367,15_24,0.136
11367,25_34,0.157
11367,35_44,0.122
11367,45_54,0.103
11367,55_64,0.143
11367,65above,0.139
11372,Below5,0.057
11372,5_15,0.1
11372,15_25,0.099
11372,25_35,0.18
11372,35_45,0.154
11372,45_55,0.154
11372,55_65,0.115
11372,65above,0.141
10002,Below5,0.036
10002,5_14,0.081
10002,15_24,0.111
10002,25_34,0.184
10002,35_44,0.136
10002,45_54,0.14
10002,55_64,0.129
10002,65above,0.183
10010,Below5,0.046
10010,5_15,0.041
10010,15_25,0.153
10010,25_35,0.26
10010,35_45,0.141
10010,45_55,0.135
10010,55_65,0.101
10010,65above,0.123
11419,Below5,0.058
11419,5_14,0.108
11419,15_24,0.154
11419,25_34,0.161
11419,35_44,0.132
11419,45_54,0.159
11419,55_64,0.131
11419,65above,0.097
11218,Below5,0.091
11218,5_15,0.148
11218,15_25,0.121
11218,25_35,0.169
11218,35_45,0.149
11218,45_55,0.115
11218,55_65,0.105
11218,65above,0.102
10004,Below5,0.028
10004,5_14,0.075
10004,15_24,0.127
10004,25_34,0.291
10004,35_44,0.181
10004,45_54,0.125
10004,55_64,0.118
10004,65above,0.055
11215,Below5,0.078
11215,5_15,0.097
11215,15_25,0.081
11215,25_35,0.236
11215,35_45,0.199
11215,45_55,0.119
11215,55_65,0.097
11215,65above,0.093
11236,Below5,0.058
11236,5_14,0.123
11236,15_24,0.149
11236,25_34,0.139
11236,35_44,0.128
11236,45_54,0.146
11236,55_64,0.137
11236,65above,0.12
10009,Below5,0.026
10009,5_15,0.059
10009,15_25,0.131
10009,25_35,0.269
10009,35_45,0.131
10009,45_55,0.123
10009,55_65,0.122
10009,65above,0.139
11103,Below5,0.045
11103,5_14,0.064
11103,15_24,0.112
11103,25_34,0.31
11103,35_44,0.153
11103,45_54,0.112
11103,55_64,0.091
11103,65above,0.113
11375,Below5,0.07
11375,5_15,0.099
11375,15_25,0.066
11375,25_35,0.145
11375,35_45,0.177
11375,45_55,0.139
11375,55_65,0.12
11375,65above,0.184
10016,Below5,0.041
10016,5_14,0.039
10016,15_24,0.118
10016,25_34,0.342
10016,35_44,0.109
10016,45_54,0.104
10016,55_64,0.104
10016,65above,0.143
11206,Below5,0.084
11206,5_15,0.156
11206,15_25,0.159
11206,25_35,0.21
11206,35_45,0.115
11206,45_55,0.099
11206,55_65,0.081
11206,65above,0.096
10007,Below5,0.044
