Zipcode	SCORE	GRADE
10011	12	A
11201	19	
10001	12	
11368	13	A
11373	9	A
	43	
11417	8	A
11231	19	C
10017	13	A
10019	11	
11220	17	
10475	11	A
10010	17	
10314	10	A
11101	13	
10019	5	A
11373	8	A
11237	28	
11236	22	
10470	27	
10022	41	
11219	12	A
11372	20	
11211	9	A
11354	21	B
10019		
10304	10	
11201	25	
10036	10	
10019		
11238	23	
10013	23	B
11004	7	A
11697	17	
11220		
10305	46	
10016	13	A
10305	27	Z
11232	21	
11354	7	A
11211	7	A
11417	4	A
10461	51	
10314	22	
11201	25	
10017	9	A
11206	13	A
11209	63	
11373	36	
11201	7	A
10002	13	A
10302	5	A
10119	7	A
10014	10	
11361		
10003	64	
11228	37	
10014	12	A
10022	7	A
11368	20	
10011	3	A
10306	16	
10036	16	
11238	23	B
10021	33	
11223	11	A
11418		
10036	14	
11224	11	A
10301	18	Z
11219	12	A
11208	22	
11373	12	A
10301	25	Z
		
11231	27	B
10009	23	
11232	38	
10474	20	
10003	9	A
10036	19	
10011	12	A
11369	10	A
10029	7	A
10028	12	A
10027	13	A
10040	47	
10012	25	
10002	35	
10038	15	
10003	18	B
10036	10	A
10305	27	
	11	A
10013	32	
10128	10	A
10472	15	
10027	4	A
10003	34	
10025	11	A
11214	13	P
11249	12	A
10002	14	B
10025	7	A
11236		
10013	24	
10006	25	
11225	10	A
10009	26	
	29	
11106		
10002	12	A
10014	12	
11226	2	P
10461	51	
10314	10	A
11238	6	A
11234	45	
11229		
	10	A
10025	36	
10019	9	A
11220	11	A
11233	14	
10022	13	A
10463	42	
11435	16	B
10458	54	
11204	8	A
11209	4	Not Yet Graded
10012	12	A
11378	18	
10460	24	
10011	13	A
11214	13	
11207	26	B
10027	26	B
10019	13	A
10458	26	
11217	24	B
11207	26	
10013	7	A
11205	12	A
10312	21	B
10012	11	A
10016	13	A
11101	9	A
10032	11	A
10464	9	
11693	19	
11101	11	A
11235	12	A
10007	12	A
11207	51	
10466	24	
10022	60	
11205	12	A
10010		
11417	12	
11103		
11104	13	A
11212	15	B
10041	9	A
10003	12	A
11214	12	
10003	54	
11413	11	
10019	22	
10016	43	
11416	6	P
10003	23	
10003	9	
	23	Z
11218	7	A
10021	11	A
10013	92	
10457	11	A
10035	9	A
11693	22	
11212		
11238	21	
10035	20	
10459	19	B
11204	22	
10025	9	A
11375	77	
10003	19	
11419	11	A
10017	12	A
10472	32	C
11217	22	
11238	27	
11435		
11226	22	
10314	21	
10451	42	
10454	41	
10013	26	
11220	81	
10009	11	A
10306	21	
11204	18	
11237		
11238	17	
10040	8	
11212	22	
10028	22	B
10305	6	A
11203	21	
10036	28	
11355	20	
10036	7	A
10028	50	
11201	20	
11237	32	
10003	27	B
10012	37	
10036	22	B
10010	27	
10010	21	B
10005	10	A
10036	13	A
10455	9	P
10016	41	
10003	10	A
11226	13	A
10128	9	A
10452	13	A
10033	46	
10029		
11238	24	
10312	19	
11101	10	A
11215	21	
10451		
10463	12	A
11693	5	
11236	14	B
10003	20	
10456	9	
11372	9	
	13	A
11236	11	A
11218	11	A
11361	32	
11434	12	A
10001	13	
10019	27	
10462	43	
11211	42	
10467	12	A
11106	52	
10012	9	A
11210	47	C
10467	13	A
11208	9	A
11211	5	
11377	8	A
10016	12	A
11691	27	
11249	13	A
10065	27	Z
10003	7	A
11434	22	B
11233	43	C
10040	23	Z
10016	34	
	16	
10032	21	B
10038		
10036	21	Z
10003	7	A
11210	13	
11220	22	
11354	24	
10032	27	B
11215	12	A
10019	26	B
11368	23	B
11208	9	A
10036	22	
10017	15	
11362	12	A
11226	18	B
11356	11	A
11249	47	
11216	12	A
10010	29	
10035	2	A
10017	2	A
11249	12	A
10022	22	
11364	10	A
10452	9	
11691	24	B
10458	19	
11385	15	
11416	10	
10463	32	
10017	12	A
10036	21	Z
11385	18	
11428	20	
11217	33	
11693	11	
11238	13	A
11226	13	
10462	10	A
10010	32	
11368	17	B
11419	12	A
10282	23	
11354		
11206	12	A
10467	34	
10022	60	
10036	7	A
10007	10	A
10456	9	A
11217	27	
10312	11	A
10461	12	A
11436	9	A
11385	12	A
11354	13	A
10022	0	P
10105	5	A
11223	26	
10019		
10016	33	
11369	21	
10302	13	A
10032	22	Z
11209	9	A
10303	23	
10001	23	B
11430		
11372	9	A
10016	12	
10002	21	
10022	12	A
10065	28	C
10453	10	A
10462	22	
10036	9	A
10466	27	B
10003	9	A
11203	19	C
10473	10	A
11213	34	
10017	35	
10019	11	
10014	33	
11375	8	A
10036	10	A
11236	24	
10014	14	
10012		
11361	20	
10466	16	B
11372	13	
10009	18	B
11357	13	A
10014	8	A
10312	9	A
11105	53	
	30	
10002	9	A
10017	9	A
10032	10	A
11368	19	B
10040	17	
11385	19	B
11354	7	A
11369	2	A
11237	13	A
11103	5	
10111	19	
11370	6	A
10128	33	
10004	7	A
11223	37	
11355	12	A
11238	26	
11231	12	A
10003	12	A
10457	10	A
11221		
11432	38	C
11106	12	
11249	38	
11419	8	A
11201	13	A
10459	13	A
11413	20	Z
11372	11	A
10018	4	A
10019	13	A
10017	22	
10468	24	
10455	27	
11106	24	Not Yet Graded
10009	20	
11249	30	
10002	63	
11225	11	
	10	A
11234	38	
10452	31	
10301	9	P
11105	10	A
11239	24	
11221	24	
10306	2	A
10003	15	
10019	9	A
11101	13	A
11357	10	A
10017	27	
10314	13	A
11207		
10011	11	A
11222	7	A
11422	19	
10301	50	
11102	17	B
10028	42	C
11236	50	
10016	17	
11420	23	Z
11203	20	
10013		
11213		
10472	8	A
10002	15	
11237	50	
10002	6	
10002	15	
11372	10	A
11106	9	P
10011	48	
10455	13	A
10009	83	
10038	15	
11207		
10309	19	
11215	27	B
11432	10	A
11230		
11216	13	A
11413		
10451	40	
10024	25	
11214	13	A
10463		
10009	8	A
10461	13	A
10013	11	
11212	13	A
11232	24	
10025	31	Not Yet Graded
10011	8	
11354	9	A
11417		
11377	29	
10019	13	A
10018	10	A
10029	38	
10003	5	A
10029	7	A
11217		
11373	54	
11375	37	
10013	33	
11221	20	
11365	49	
11201	9	A
10468	38	
11373	30	
10021	21	
11103	20	
10019	19	B
10016	34	
11235		
11232	27	B
10038	9	A
10012	9	A
10014	20	
10019		
10022	15	
10458	45	
10036	29	
10463		
11216	18	B
10003	9	
10010	3	A
10301	6	A
11377	19	B
10463	22	
10017	13	
11208	19	
11204	15	
11356	11	A
11204	30	
10019	13	A
11235	32	
10016	29	
11233	31	
11423		
10011		
10013		
11213	10	A
11238	24	
11216	18	
10019	2	A
11367	35	
10009	13	A
11354	25	Z
11226	25	
11232	27	B
10032	21	B
10467	12	A
11374	9	A
11220	21	
11233	52	C
11040	47	
11210	22	
11373	26	
10007		
10463	27	B
11370	10	A
10467	13	A
10029	54	
11221	15	
11205	19	B
11233	44	
11216	138	Not Yet Graded
11368	11	A
10456	3	A
11205	18	
10025	2	
11372	12	
10016	14	
10014	12	A
11101	43	C
10002	10	A
11201	5	
10466	19	B
10019	17	B
11215	82	
11378	9	A
10002	51	
10013		
11222	16	
11214	13	
10019	12	A
11204	13	A
11229	22	
11238		
10001	10	A
11693	4	P
10003	42	
11216	18	
10013	28	
11218	9	A
11225	7	A
10024	24	
11226	25	
11222	15	
11372	36	Z
11375	59	
11237	29	
10012	17	
11226	11	A
10036	0	A
11235	13	A
11237	16	
10022	34	
11230	21	
11217	11	A
10128	30	
11230	26	
10019	28	
10040	22	
11101	13	A
11103	9	A
11236	34	Z
10017	11	A
11354	28	
11223	12	A
11220	16	
10314	13	A
10024		
10458	25	
11236	20	
11249	47	
10029	23	
10002	10	A
11220	22	
10011	23	
10025	26	
10472	16	
11222		
10028	25	
11212		
11433	8	A
10017	10	
11102	12	A
10461	2	A
10301	12	A
10305	26	
11103	24	
10014		
10011	15	
11220	0	P
10306	26	
10036	5	A
11201	11	
10022	12	A
11368	10	A
10019	5	A
11249	24	
11432	9	A
10036	13	A
11215	8	A
10002	12	
11231	11	A
10034	27	
11358	28	
10024	24	Z
11228	6	A
10022	17	B
11208	12	A
11213	33	
10454	27	
11430	2	A
10065	34	
11385	11	A
11203	14	B
10460	7	A
10002	11	A
11238	13	A
11373	8	A
11216	10	A
11238	46	Not Yet Graded
10065	24	
10003	10	A
10012	7	A
10017	12	A
10472	20	
	20	B
10007	22	
11249	17	B
11229	34	
	5	A
10459	11	A
11209	18	
11223		
10011	4	A
11364	7	A
10452	26	B
11208	29	
10458	9	A
10007	38	
10013	36	
10013	11	A
10475	17	
10018	52	
10030	12	A
11106	8	A
10038	13	A
10016	29	
11220	5	A
10016	40	
11207	24	
10014	17	
11209	26	
11372	12	A
11364	7	A
11230	52	Z
11211	3	C
10022	31	
10025	14	
11231	21	
	15	
11226	44	
10032	5	A
11238	23	
11358	10	A
10016	29	
	6	A
10025	19	
10012	12	A
11101	12	A
11101	2	
11215	10	A
11201	9	A
11372	19	
10002	7	A
10030	12	A
10452	7	A
10301	12	A
11375	12	A
11362		
11103	12	A
10451	10	
10452	13	A
11375	16	B
10009	31	
10003	14	
11220		
10013	7	A
11104	47	
10458	21	B
10308	10	A
11103	18	
11222	12	A
11214	11	A
10019	10	A
11418	22	
11105	12	A
11218	26	
10019	5	A
11215	10	A
10457	33	
10011	16	
11416		
11375	10	A
11105	13	A
11238	24	
10018	48	
10016	36	
10017	55	
10463	27	
11354	30	
11208	30	C
10022		
11428	10	A
11106	9	A
10022	11	A
11222	10	A
10017	13	A
10002	0	
10075	13	A
11372	10	A
11201	13	A
11214	50	
11412	13	A
	35	
	10	A
10036	11	A
11368	18	
10002	26	
10462	27	
11218	2	A
10003	12	A
11358	48	
11226	32	
10036	26	B
11223	12	A
10003	47	
11238	9	A
10003	12	A
10002	12	A
10033	12	A
11211	13	A
11215	4	A
10028	14	
11104	25	
11217	10	A
11201	21	
10019	15	
11211	10	A
10003	8	A
10003	7	A
11249	12	A
10465	23	
11358	7	A
10002	20	B
11101	20	B
10027	25	
10461	21	
10012	11	A
10018	6	A
10038	20	
10013	44	
10453	56	
11203		
11201	19	B
10028	20	
11373	8	A
10014	12	A
10003	19	
11416	13	A
11355	27	B
10007	13	A
10013	57	
10016		
11232	14	
11216	6	P
11217	9	C
10309	12	A
10452	10	
10014	16	
11215	13	A
11412	23	
11377		
11215		
10304	62	Not Yet Graded
10004	13	
11216	4	A
11229	16	
10012	11	A
11372	45	
10001	10	A
10075	13	A
11215	51	C
11105	13	A
11385	20	
11208	6	A
10301	39	
11414	31	
11354	64	
10467	19	Z
10457	26	
11215	10	A
10468	2	A
10020	21	
10009	8	A
11238	18	B
10022	29	
10472	13	
11225	19	
11211	8	A
10452	10	A
11249	8	A
11230	24	
10017	25	
11101	16	B
10013	22	B
10314	13	A
11249	21	
11355	17	
10014	11	A
11378	13	A
10461	10	A
10029	10	A
10279	7	A
10001	12	A
11207	27	
11358	11	A
10019	23	
11205	20	
11385	27	
11368	22	
11217	43	
10038	7	A
10018	23	B
11237	22	
11206	12	A
10002		
11416	13	A
11213	21	B
10014	50	
10018	13	A
11366	13	
10467	37	C
10010	18	
10021	16	
11435	16	
11225	9	A
10017	32	
11201	13	A
10463	12	A
	11	A
11220	13	A
10012	13	A
10010	56	
11211	5	A
10033	20	
11209	29	
10014	13	A
10033	12	A
11223	18	
10456	11	
10003	37	Z
10038	28	
10003	5	P
11106	18	
11215	11	A
11211		
11201	11	A
10010		
11429	38	
11221	13	
10028	27	B
10461	21	
11354	10	
10024		
11223	12	A
10001	9	A
11222	37	
11224		
10036	18	B
11201	6	A
11372	50	
11215	11	A
10118	10	A
10040	10	
11231		
10016	19	
10012	21	
11378	9	
10002	38	
10029	13	A
11217	12	A
10014	24	
11226	12	A
11357	9	A
11208	33	
10002	81	
11375	11	A
11426	16	
11216	13	A
10027	13	A
11219	22	Z
11220	13	A
10025	7	A
11372	37	
10310		
10018	21	
10306	12	A
11368	16	B
11238	2	A
10036	10	A
11374	12	
10019	22	
11215	45	
10010	37	C
11214	12	A
10454	6	A
11216	2	A
11233	22	B
11355	19	B
10004	9	A
11222	22	
11373	7	A
11105	13	A
11419	10	
10009	13	A
11232	24	
10314	11	
10019	19	
10024	26	
10031	10	A
11235	7	A
10458	13	A
10464	11	
11220	31	
11215	12	A
11102	11	A
11221	26	
10453	11	A
11103	7	A
10467	13	A
	24	
10013	30	
10012	12	
10003	9	A
10033	12	A
11368	2	
10305	26	
11215	13	A
11235	12	A
10463	11	A
11101	10	A
10017	10	A
11204	0	
11208	35	
10016		
10010	38	
11225	12	A
10002	19	
11208	13	A
11421	31	
11373	11	A
11420	5	A
10314	33	
11355	50	
10014	27	B
11372	12	A
11226	11	
11209	22	
10022	30	
11106	24	Not Yet Graded
10314	63	
10036	26	B
10003		
11372	4	A
10032	15	
10025	17	
11222	7	A
10016	13	A
10464	30	
11216	16	
10470	22	
10009	13	A
11226	12	A
11368	22	
11249	41	
11101	5	A
10302	25	
	20	
10016	32	C
11375	10	
11421	11	A
11211	12	
10019	10	A
11201	9	A
10034	17	B
11207	17	
10017	9	
10457	24	B
11415	11	
11372	15	
11373	13	A
10036	73	
11233	42	
10002	25	
11377	8	A
10472	3	P
10029	10	
10007	20	
11102	49	
11368	7	A
11372	13	A
10463	4	
11220	43	
10461	12	A
10002	13	A
11372	20	
11213	13	A
11375	17	B
10453	13	A
11205	43	C
10033	9	A
11375	28	C
10038	29	
10019	8	A
11102		
10003	20	
10014	9	
10014	48	C
10025	3	A
11204	27	B
10003	16	
10027	9	
10014	10	A
11103	12	A
10021	41	
11217	23	
10462	50	
11206	89	Not Yet Graded
11362	19	
10033	12	
11225	16	B
10002	13	A
11217	7	A
10474		
11354	34	
11372	23	
11373	18	
10002	8	A
11361	10	
	12	A
10309		
10472	6	A
	8	A
10027	27	
11354	12	A
10472	12	A
10011	47	
10025	9	A
10009	11	A
10462	9	A
11106	22	B
10017	25	
10001	11	
11101		
10004	6	A
11223	4	A
11103	11	A
11230	13	A
11201	18	
10040	40	
10003	50	
11420	8	A
	25	B
11201	24	
10011	7	A
11411		
10065	9	A
11231	13	A
11433	21	B
10036	8	A
11693	10	A
10011		
10032	9	A
11385	47	
10451	4	A
10022		
10009	38	
10003	13	A
11368	12	A
11101	23	
10002	37	
11220	4	A
11201	9	A
11105	9	A
10314	23	
10019	34	
11204	31	Not Yet Graded
11236	26	
10002	55	Z
10003	11	A
10027	18	B
10038	7	A
11372	12	A
11201	27	
11208	9	A
11209	12	A
11201	91	
11106	8	A
11220	10	A
11226	13	A
10019	122	
11237	12	A
10011	13	A
10009	2	
11377	23	
10002	12	A
10009	35	
11201	26	
11217	18	
10017	0	
11231	10	A
11432	14	
11420	14	
11427		
11102	13	A
10022	21	
11234	9	A
10026	35	
10010	12	
11427	13	A
11238	12	A
10017	33	
11105	20	
10038	19	
10022	23	
11206	10	A
11378	18	
10035	45	Z
10013	20	
10001	11	A
10457		
11232	28	
10301	21	
11223	5	A
10013	4	A
11221	2	A
11231	23	
10022	12	A
10462	18	
11419	61	
10017	6	A
10038	24	
10128	57	
11211	23	
10013	22	
10027	10	A
11209	56	
10014	9	A
11226	27	Z
11225	13	
10004	2	A
10016	2	
10023	13	A
11214	8	A
10017	33	
11237	18	
10036	55	
11223	19	B
10017	17	
11419	13	A
10022	24	B
11238	23	B
11368	13	A
10017	12	
10456	13	A
11435	20	
10011	12	A
10456	34	
11354	23	
10011	26	B
11429		
11232	8	
10035	17	B
11220	12	A
10003	29	C
11423	22	
11205	26	Z
10019	12	A
10019	21	
11436	5	A
10016	12	A
10017	28	
11385	10	A
11434	45	
11217	13	A
10019	32	
11101	20	
11377	44	
11375	17	
11102	43	
10025	4	A
11223	21	B
11215	11	A
11226		
11365	30	
11221	17	B
11375	45	
11214	13	A
10001	20	
10003	3	A
10016	8	A
10009	14	
11385	9	
11106	50	
10012	17	
10014	15	
10002	25	B
10314	11	A
10018	12	A
10305	26	
10305	18	
10003	12	A
11101	10	A
11427	10	
11414	19	
10012	15	
11102	12	A
10011	9	A
10065	12	A
11205		
11201	16	
11432	9	A
10021		
10016	9	A
11385	10	A
10018	15	B
11235	15	
11230	23	
10001	3	A
11214	43	
11206	25	
10016	12	A
11219	29	
11204	11	A
11358	12	
10461	22	
11238	20	B
11368	19	
10466	36	
11225	18	
11226	12	A
10465	23	
10001	19	
10013	11	A
10308	12	A
10002	9	
11205	18	B
10011	31	
10032	13	A
10011	21	
10028	37	C
11366	13	A
10028	4	A
11214	26	
11373	22	
11694	7	A
10001	12	A
10003	24	
10459	15	
11211	25	B
10029	11	
10033	8	A
10019	11	
10013	22	B
11201	26	
11365	29	
11229	26	B
10022	20	
10004	85	
11375	13	A
11105	13	A
11106	19	
10011	11	
10035		
10473	35	
11103	10	A
10021	22	
11215	22	B
10038	13	A
10002	21	B
10065	13	A
11211	13	A
10013	7	A
10013	30	C
11377	26	
10013	24	Z
11375	18	
11421	27	B
10017	11	A
11362	22	B
11432	23	
10001		
10128	17	
10036	2	A
11205	9	A
11211	17	Z
10457	24	
10003	6	A
11223	12	
10019	25	
10024	35	
11217	16	
11385	10	A
10014	8	A
10456	19	
11355	27	B
11208	10	A
10011	11	A
11204	21	
11372	9	
10013	17	
11215	10	A
11385	11	A
11229	27	
10032	19	
11419	12	A
11201	13	A
10451	13	
11215	26	
10013	11	A
11367	11	
11208	12	A
10001	13	A
11428	52	C
11367	41	
10033	34	
11367	105	
10019	10	A
10013	7	A
11237	44	
10451	31	C
10310	13	A
10018	19	
11238	12	
11385	18	
11368	29	
10010	14	B
11209	7	A
11225	10	A
11205	8	A
11249		
11101	13	A
11103	12	A
11215	12	A
11237	9	A
10013	45	
11235	4	A
10011	9	A
10002	19	
10007	12	A
11372	12	A
10451	12	
11234	13	A
10461	9	A
10302	23	
11232	18	
10458	26	
11360	12	A
11385	18	
11201	13	A
10036	30	
11355	71	
11204	19	B
10454	14	
10020	25	
10019	3	A
10019	7	A
10002	12	A
10011	19	B
10453	24	B
10009	19	
10014	30	
10009	9	A
11434	21	
10463	3	A
10454	25	
11374	14	
	19	
10022	12	A
11040	31	
11216	9	A
10010	11	A
11222	7	A
11354	56	
10016	10	A
10458	34	
11212	6	A
11375	13	A
11368		
11372	22	B
10011	21	
10121	2	A
10016	23	
11385	14	B
10022	15	
11101	11	A
10027	52	
11232	22	
10007	68	
10468	21	
10467	12	
11372	21	
10002	47	
11216	9	A
11372	12	
11206	21	
10032		
10001	5	A
11210	19	
11225	2	A
11230	40	C
10033	13	A
11215	52	
10454	13	
11421	35	
11377	10	A
10301	12	A
10308	12	A
10003	7	A
11211	20	B
10036	8	A
10312	13	A
11216	21	B
10018	13	A
10017	30	
11385	10	A
11354	13	A
11368	11	A
11209	19	
10019	12	A
10452	25	Z
11218	61	
11209	21	
10023	18	
10022	12	
11103	19	
11238	56	
11220	24	
11228	9	A
10040	20	
11203		
11222	18	
10029	11	A
10027	28	
10030	5	A
11377		
10469	19	
11379		
11221	11	A
10011	28	
11237	26	
10309		
10456	21	B
11102	13	A
10024	38	
11040	21	
11354	24	
11222	4	
11207	22	
10314	36	
11206	30	C
11215	11	A
10006	12	A
10018	18	B
11216		
11101	20	
11205	22	B
10036	11	A
11378	17	
11209	34	
	13	A
10065	20	
11418	10	
11432	51	
10036	25	
10019	32	
11432	54	
10031	20	
11369	19	
10468	26	
10025	9	A
11358	13	
11105	13	A
10005	9	
10462	13	A
11226	11	A
11220	37	
10012	27	B
11204	20	
10019	9	A
10024	11	A
10010	11	A
11354	0	P
10004	17	
11201	51	
10011	12	A
11215	21	
11219	9	A
11211	7	A
11104	26	
11375	12	A
10465	12	A
10018	10	
10012	12	
11220	23	B
11226	11	A
11235	22	
10009	13	
11233		
11231	12	A
11211	9	A
10463	13	A
11201	31	C
11235	28	
11222		
10022	40	
11201	3	A
11213	39	
11235	16	
10463	11	P
10033	24	
10038	10	A
10308	13	A
10025	5	P
11231	21	
11231	17	B
10001	8	A
10128	24	
11373	24	
10032	43	C
10019	23	B
11103	32	
10305	11	
11432	18	A
11385	7	A
10025	17	B
10453	12	A
10035	37	C
11209	4	A
10011	23	B
10121	31	
11238	27	
10304	32	
11237	26	
10025	24	
10461	19	B
10024	17	B
10001	18	
10453	16	
11209	63	
10012	16	
11207	5	A
10310	31	
10128	32	
11101	23	
11211	13	A
10470		
	41	
11423	43	
10013	13	A
10019	25	B
10029	10	A
10453	48	
11354	13	A
11363	13	A
11366	12	A
11216	18	
10019		
11365	11	A
10463	11	A
11223	3	A
10023	12	A
10012	17	
11226	12	A
10010	9	A
10002	24	
11211	24	B
11354	13	
11368	12	
11230	4	
11354	16	
10031	12	A
11239	7	A
10013	23	Z
10036	13	
11358	31	
	12	A
11372	11	
10019	24	B
11377	3	P
10016	10	A
10013	11	
11232	14	
10013	5	A
11372	14	
11214	44	
11104	11	A
10019	9	A
11209	3	P
10019	38	Z
11105	10	A
11104	7	A
10004	22	B
10305	9	A
11226	9	A
10014	26	
11208	14	
10007	53	
	6	
11217	53	
11223	13	A
10039	30	
10027	18	
11231	12	A
10463	59	
10022	21	
11208	8	A
10473	7	A
10003	11	A
11215	18	
11236	32	
10019	45	
10018	17	B
10013	9	A
10016	17	
10003	11	A
10461	10	A
11222	58	
11229	26	
10301	17	B
11204	27	Z
11216	11	A
10462	30	
11218	19	
11372	36	C
11354	13	A
10003	9	A
10457	33	C
10023	50	
10013	52	
10038	21	
11215	13	A
10011	20	
10065	27	
11368		
10128	18	
10002	19	
10021	37	
11201	31	
10019	19	
11432	20	
11234	9	A
11249	8	
11385	13	A
11356	66	
11101	19	
10012	32	
10037	10	A
11212	67	
11232	0	
11209	14	
10462	13	A
11694	33	
11422	18	
10003	12	
11354	13	A
10457	18	
10013	19	
10306	15	
11361	43	
10452	20	B
10012	12	A
11104	18	
11201	13	A
10024	12	A
11238	21	
10310	13	A
10012	25	
10019	13	
10452	10	A
11220	20	B
10022	35	
10019	13	
10029	22	
10024	12	A
10036	22	
11355	19	
11220	10	A
10009	13	A
10011	31	
10314	7	A
10002	12	A
10040	31	
10458	7	A
11223	3	A
11216	7	A
11373	22	
11226	27	
11373	11	A
11385	13	A
	19	
10004	9	A
11372	12	A
10019	46	
11207	18	
10007	7	A
11413	33	
11218	42	
11104	17	B
11385	23	
10458	33	
11420	22	
10013	6	A
10019	25	
10013	5	Z
11420	22	B
10002	22	B
10016	29	
10016	16	
10009	12	A
10022	19	
11201	13	A
11220	13	A
10016	13	A
10025	21	
11435	2	Not Yet Graded
10007	21	
10013	12	
10036	41	Z
10016	13	
11208	37	
10027	12	
10020	35	
11375	10	A
10019	33	
10019	27	B
10025	11	
11372	11	A
10459	19	B
10001	21	
10009	2	A
10456	4	A
11215		
10027	22	
11105	4	A
10314	22	
10020	15	
10012	20	B
11205	12	A
10017	5	A
10005		
10002	5	A
10075	13	A
11103	6	A
11372	7	A
11432	32	C
10014	20	
11217	11	
11220	9	
11220	71	
11104	11	A
10001	13	A
10468	3	A
11432	18	
10461	23	
11377	9	A
10019	41	
11211	2	P
10036	28	C
10031	69	
10010	8	A
11374	22	
11375	16	
10001	21	
10016	15	B
10002	24	
11236	27	
11435	0	A
11354	7	A
11105	26	
11249	26	Z
10003	48	
11217	34	
10115	23	
11213	12	A
11219	17	
10021	15	
11238	30	
11249	42	
11420	26	B
10010		
10025		
11105	12	A
11235	26	
10001	44	
11693	13	A
11372	36	C
10473	40	
10018	11	A
11230	21	
10019	19	
11229	11	A
10038	112	Not Yet Graded
10468	13	A
	59	
10009	18	
10040	10	A
11372	11	
10314	31	
11385	31	
10025	7	A
11432	40	
10458	27	
10003	2	
11105	13	
10021	21	
11225	13	A
10009	46	
11222	44	
10306	31	
10467	68	
10017	9	A
10457	13	A
10004	24	
10024	14	
10301	10	A
11368	26	
10036	36	
10001	4	
10001	20	
11373	21	
10016	43	
11214	11	A
	4	A
11216	38	
10031		
10014	10	A
11239	10	A
11362	35	
10470	12	A
10013	7	A
10016	19	B
11215	25	
10025	23	
11201	27	
11106	24	
10002	27	
11207	6	A
11222	17	B
11204	30	
11354	12	A
11205	25	
11385	12	
10011	35	
10309	25	
10002	10	A
11201		
10003	33	
11415	30	
10017	13	A
10474	27	B
10002	12	A
11372	8	A
11102	27	
11432	7	A
10019	21	
11354	20	
11211	12	A
11234	11	A
10128	10	A
11105	9	
11373	22	
11432	33	
10007	8	A
11366	26	
10454	22	
10456	12	A
10003	48	
11421	22	
10022	11	A
10280	9	A
10009	12	A
11211	7	A
11226	22	
10121	12	A
10468	28	P
10455	9	A
11103	13	A
10018	11	A
11215	11	A
11412	30	
10016	43	
10002	10	
10013	32	
10016	8	A
10453	32	
10039	13	A
11101	12	A
10025	9	A
11040	10	A
10456	11	A
11215	48	
10033	5	A
11201	10	A
11435	3	A
10454	25	
10036	23	
10010	39	
10468	22	
11375	13	A
10314	24	
11210	23	
11234	13	A
10002	27	
10024	9	A
10455	11	A
11215	33	
11355	22	
10033	25	
11238	13	A
11372	13	A
11361	38	
10455	9	
10009	16	
11417	11	A
11215	12	A
11221	10	A
11372	9	A
10461	13	A
	33	
11224	26	
11204	13	A
10465	12	
10455		
10007	15	B
11354	27	
11377	44	
10036	26	
11375	7	A
11365	23	B
10002		
10028	11	A
10012	13	A
11211	27	B
10303	24	
11213	13	A
10023	10	A
11355	18	
10023	13	A
10002	38	
10458	9	A
11201	27	
11361	12	A
11385	4	
10028	16	
11385	20	
10026		
11235		
11435	53	
10036	16	
10013		
	11	A
11372		
11377		
10014	23	
10038	8	A
10024	21	
11418		
11368	12	
11211	25	
10036	10	A
10462	21	
11225	13	A
11219	13	A
11220	11	A
11372	56	C
11201	22	B
10007	10	A
10463	4	
10011	5	A
10002	9	P
11206	12	A
11215	11	A
10036	6	A
10455	17	
11238		
10128	21	
10025	7	A
11209	47	
11367	50	
10012	10	A
10065	12	A
10003		
11377	7	A
10065	20	
10033	12	A
10305	7	A
11362	26	
11367	8	A
10461	62	
10029	32	
10010	15	
10001	36	C
10469	12	A
11223	11	A
10002	19	
10009	12	A
10025	24	
10458	57	
11372	41	C
11208	40	
11220	5	A
11226	10	A
11207	12	A
11427	18	
10018	10	A
10038	10	A
10027	10	A
11385	12	A
11354	4	A
11201	15	
11220	45	
10038	9	A
10454		
11220	28	
11221	7	A
10002	37	
11214		
10016	9	A
11220	28	
10010	20	
11211	7	A
11375	2	
10016	12	A
11220	11	A
10461	11	A
10024	12	A
11232	11	A
10453	13	A
11234	18	
11235	13	A
10003	27	
11372	13	A
10018	5	A
10065	12	A
10011	11	A
10308	7	A
10016	12	A
11103	53	
11362	7	A
11205	8	A
11694	10	A
10467	21	
11220	31	
11238	27	
11238	7	A
11413	23	B
10001	42	
11217	7	A
11234	13	A
10028	12	A
11235	10	A
11358	11	A
11104	9	A
10004	10	A
10282	24	
	16	
10038	5	A
10009	22	
10003	13	A
10121	19	
11234	9	A
11375	21	B
11235		
10012		
11235	24	C
11204	9	
10009	40	
11233	18	
10038	21	
11235	31	C
11220	9	A
10011	26	B
11238	20	
10019	11	A
11368	43	
10121	0	A
10305	21	B
10017	11	A
11374	16	
10016	10	A
10025	20	
11207	29	
11105	9	A
10017	9	A
10465	7	A
11220	17	B
11372	12	A
11222	32	C
10451	12	A
10452	31	
10011	12	A
10011		
11385	12	A
11420	22	
10033	10	A
10001	11	A
11427	7	
11368	10	A
11201	20	
10013	33	
11101	12	A
10280	62	
10034	30	
10022	24	
11205	47	
11229	13	
11355	9	A
10029		
10019	12	A
11434	109	
11210	22	
10302	20	
11414	12	A
10013	32	
11104	18	
10011	12	A
11207	4	P
10034	41	C
11232	13	A
11418	9	A
11206	62	
11103	12	
11415	13	A
10004	4	A
10017	11	A
11368	4	A
11358	31	
11365	12	A
10011	2	A
11215	25	B
11211	12	
11101	13	A
10036	48	
