Zipcode	SCORE	GRADE
10003	31	
10455	38	
11104	36	
10466	7	A
10003	5	A
10002	12	A
10034	8	A
10013	24	
10022	12	A
10475	9	A
11229	67	
10029	11	A
10039	6	A
10013	10	A
11004	29	
10022	12	A
10019	11	
10312	18	
11233	66	
11379	25	B
10011	9	A
10005	12	A
10022	37	
10009	11	A
10471	39	
11225	2	A
11435	23	B
10016	17	
10310	11	A
11220	20	
10033	46	
11221	9	A
11373	40	
11225	48	
11234	30	
10014	30	
10036	21	
11434	11	A
10065	17	
11220	8	A
10021	9	A
11377	12	A
11234	13	A
11204	12	A
11226	20	B
10022	36	
11238	39	
11213	14	
11226	13	A
11238	34	
10017	12	A
11377	109	
10036		
11354	22	B
10174	5	A
11206	45	
10017	23	
10475	5	A
11211	12	
11238	6	A
10013	34	
11355	32	
11385	8	A
10038	11	A
11215	16	B
11215		
11355	12	A
		
11209	14	
11102	40	Not Yet Graded
10002	15	
10036	11	A
11206	10	A
10019		
11209	10	A
11385	13	A
11103	12	A
10451	19	B
11421	30	
11223	15	
11355	7	A
10462	35	C
11232	54	
11372	32	
10002	94	
11355	23	Z
10013	26	
11231	13	A
11226		
11101	4	A
11216	10	P
10003	12	P
11219	9	A
11105	55	
11224	13	A
11238	7	A
10065	2	A
11432	24	
10025	11	A
10026	10	
10023	22	B
10018	13	A
10014	20	
10004	10	A
11201		
10455	12	A
11103	14	
11004	11	
10017	35	C
11217	9	A
10458	26	
11220	27	
10307	15	
10019	13	A
10022	9	A
11368	30	
10036	25	
10019	13	A
10001	6	A
10023	59	
11220	13	A
11220	11	
10038	13	
11372	19	B
11204	10	A
11207	9	A
11219	13	A
10009		
10014	24	
11102	11	
10003	10	A
11694	7	
11238	13	A
11693	15	B
10011	11	A
10033	68	
11222	7	
10019	22	
11385	7	A
10314	13	A
10003	7	A
11216	12	A
10005	12	A
10456	13	A
10022	16	
11358	72	
11106	31	
10302	11	
11211	27	B
10023	19	
11416	40	
11209	15	B
10022	7	A
11205	11	A
10010	11	A
11237	20	
11209	37	
10002	47	
11385	7	
10314	13	A
	13	A
11379	11	A
11101	25	B
11103	12	A
10454	5	A
11354	11	A
11419	16	
10016	32	
11204	11	
10028	16	
10457	29	C
11105		
11238	7	A
10003		
10019	23	
10452	46	
11233	30	
10075	20	
11411	14	
10001	4	A
11354	14	B
11385	26	
10304	6	A
11101	11	A
11103	22	
11212	10	A
10463	13	A
11106	5	A
11385	21	
11201	23	
10467	20	
11693	32	
11214	17	
10013	21	
10038	8	A
11232	13	A
10036	44	
10031	13	
10033	12	A
10301	29	
11101	14	
11430	5	A
11214	28	
10021	9	A
10036	9	A
10028	23	
11201	13	A
10004	12	A
11375	22	
10065	24	
10452	9	A
10037	7	A
10467	11	Not Yet Graded
11215	18	
10022	59	C
10467	26	
10016	13	A
10310	23	B
11223	10	A
10025	24	B
11208	22	
10029	56	
11212	92	
10014	15	
10171	9	A
10463	21	Z
10467	13	A
11368	7	A
11385	13	A
10461	7	
10282	26	
10010	10	A
10457	13	A
11375	23	
11221	19	
11362	13	A
10011	12	A
10012	20	
10009	11	A
	-1	
11229	53	C
11237	10	A
10021	13	
10022	11	A
11220	16	B
11220	34	
11385	13	A
10017	38	
11105	33	
11201	18	
11364	7	A
