"Zipcode","People/American","People/Asian","People/Chinese","People/Dessert","People/European","People/Italian","People/Mexiacan","People/Others","People/QuickMeal","People/Seafood","American Proportion","Asian Proportion","Chinese Proportion","Dessert Proportion","European Proportion","Italian Proportion","Mexiacan Proportion","Others Proportion","QuickMeal Proportion","Seafood Proportion","Population","Median Income","Median Age","Female Percentage","Transportation","Markets","Crimes","Theatre","Yelp Star"
10002,2440,7810,2297,9762,11157,15619,19524,78096,7100,78096,0.28,0.09,0.3,0.07,0.06,0.04,0.04,0.01,0.1,0.01,78096,35594,41,0.52,41,72,430,4,3.6
10003,1071,1456,14192,5677,6307,3784,5677,8110,6307,14192,0.33,0.24,0.02,0.06,0.06,0.09,0.06,0.04,0.06,0.02,56767,100791,32,0.52,24,57,305,24,3.6
10004,169,1015,3044,3044,3044,761,3044,NA,609,NA,0.53,0.09,0.03,0.03,0.03,0.12,0.03,0,0.15,0,3044,123056,34,0.54,5,2,0,NA,3.8
10005,1452,8710,NA,NA,4355,NA,NA,NA,4355,NA,0.55,0.09,0,0,0.18,0,0,0,0.18,0,8710,130116,30,0.52,5,4,15,NA,4
10006,364,3277,NA,NA,NA,NA,NA,NA,1638,NA,0.75,0.08,0,0,0,0,0,0,0.17,0,3277,125364,31,0.58,4,4,18,NA,3.8
10007,749,1123,NA,3370,2247,3370,6740,3370,3370,NA,0.33,0.22,0,0.07,0.11,0.07,0.04,0.07,0.07,0,6740,234958,36,0.41,16,10,26,NA,3.4
10009,1869,9966,29900,11960,7475,19933,19933,19933,6644,NA,0.45,0.08,0.03,0.07,0.11,0.04,0.04,0.04,0.13,0,59799,60788,36,0.55,31,56,218,4,3.5
10010,1264,5476,16427,16427,6571,6571,32854,16427,6571,NA,0.48,0.11,0.04,0.04,0.09,0.09,0.02,0.04,0.09,0,32854,110142,35,0.49,30,32,184,NA,3.6
10011,1146,4582,8401,5600,5600,3600,12601,16801,7201,50404,0.41,0.1,0.06,0.08,0.08,0.13,0.04,0.03,0.06,0.01,50404,114134,40,0.5,24,55,252,9,3.5
10012,646,2454,24536,2045,2726,1887,12268,3067,3067,12268,0.37,0.1,0.01,0.12,0.09,0.13,0.02,0.08,0.08,0.02,24536,101815,34,0.49,9,24,234,8,3.8
10013,855,1567,940,3526,14106,1411,14106,14106,2170,NA,0.26,0.14,0.23,0.06,0.02,0.16,0.02,0.02,0.1,0,28211,104167,37,0.5,16,31,126,9,3.6
