"Zipcode","People/American","People/Asian","People/Chinese","People/Dessert","People/European","People/Italian","People/Mexiacan","People/Others","People/QuickMeal","People/Seafood","American Proportion","Asian Proportion","Chinese Proportion","Dessert Proportion","European Proportion","Italian Proportion","Mexiacan Proportion","Others Proportion","QuickMeal Proportion","Seafood Proportion","Population","Median Income","Median Age","Female Percentage","Transportation","Markets","Crimes","Theatre","Yelp Star"
10014,925,6293,15732,4495,1966,3146,10488,5244,3933,10488,0.36,0.05,0.02,0.07,0.17,0.11,0.03,0.06,0.09,0.03,31464,119026,37,0.49,12,26,162,10,3.5
10016,1201,2193,5605,50444,5605,4586,8407,5044,10089,NA,0.36,0.2,0.08,0.01,0.08,0.09,0.05,0.09,0.04,0,50444,102703,33,0.55,24,40,65,6,3.8
10017,551,1033,8266,3307,1653,2756,16533,16533,2067,NA,0.38,0.2,0.03,0.06,0.13,0.08,0.01,0.01,0.1,0,16533,106795,38,0.52,17,23,52,NA,3.6
10018,277,968,3228,1614,4842,3228,NA,3228,1383,NA,0.51,0.14,0.04,0.09,0.03,0.04,0,0.04,0.1,0,9684,105479,31,0.5,10,30,126,3,3.3
10019,564,2195,7901,9876,3292,1975,4938,6584,3039,39505,0.45,0.11,0.03,0.03,0.08,0.13,0.05,0.04,0.08,0.01,39505,94477,39,0.49,37,46,108,18,3.6
10021,3233,9052,15087,11315,15087,6466,45261,22630,15087,NA,0.33,0.12,0.07,0.1,0.07,0.17,0.02,0.05,0.07,0,45261,115681,38,0.55,17,44,81,1,3.6
10022,605,1681,15131,10087,4323,3783,NA,6052,3783,NA,0.5,0.18,0.02,0.03,0.07,0.08,0,0.05,0.08,0,30262,123693,46,0.55,19,29,55,6,3.6
10023,4308,15077,30154,30154,12061,8615,30154,30154,15077,60307,0.33,0.09,0.05,0.05,0.12,0.16,0.05,0.05,0.09,0.02,60307,115080,42,0.55,37,24,116,12,3.7
10024,3901,8359,19505,19505,19505,14629,58516,19505,19505,58516,0.35,0.16,0.07,0.07,0.07,0.09,0.02,0.07,0.07,0.02,58516,118594,43,0.54,34,32,148,3,3.6
10025,10524,6766,11840,18943,15786,13531,13531,47358,15786,NA,0.14,0.22,0.12,0.08,0.09,0.11,0.11,0.03,0.09,0,94717,80025,41,0.56,50,57,320,2,3.5
10026,4282,NA,12847,38540,19270,38540,19270,19270,NA,NA,0.45,0,0.15,0.05,0.1,0.05,0.1,0.1,0,0,38540,52082,34,0.53,23,26,353,NA,3.8
10027,4275,12824,32060,64120,21373,12824,21373,10687,16030,NA,0.34,0.11,0.05,0.02,0.07,0.11,0.07,0.14,0.09,0,64120,42754,31,0.53,51,42,309,5,3.6
10028,3708,9641,48205,24102,9641,9641,24102,16068,8034,NA,0.31,0.12,0.02,0.05,0.12,0.12,0.05,0.07,0.14,0,48205,111302,40,0.56,13,28,129,6,3.7
10029,5672,39706,19853,39706,19853,NA,9926,39706,7941,79411,0.3,0.04,0.09,0.04,0.09,0,0.17,0.04,0.21,0.02,79411,32500,34,0.54,46,71,456,NA,3.7
10030,7590,NA,30358,NA,NA,NA,15179,15179,NA,NA,0.44,0,0.11,0,0,0,0.22,0.22,0,0,30358,33720,34,0.52,18,20,214,NA,3.6
10031,6753,15194,15194,30389,12156,60778,10130,60778,30389,NA,0.26,0.12,0.12,0.06,0.15,0.03,0.18,0.03,0.06,0,60778,41848,34,0.5,29,51,208,NA,3.8
10032,7021,63189,21063,63189,63189,63189,31594,NA,10532,63189,0.36,0.04,0.12,0.04,0.04,0.04,0.08,0,0.24,0.04,63189,40054,34,0.5,41,57,196,NA,3.6
10033,11871,NA,19784,59353,19784,59353,NA,NA,14838,NA,0.29,0,0.18,0.06,0.18,0.06,0,0,0.24,0,59353,46349,35,0.49,19,59,194,NA,3.4
10034,3996,43951,43951,14650,10988,21976,21976,NA,14650,NA,0.41,0.04,0.04,0.11,0.15,0.07,0.07,0,0.11,0,43951,45643,36,0.52,19,35,151,NA,3.5
10035,8547,34187,NA,17094,34187,NA,11396,NA,11396,NA,0.29,0.07,0,0.14,0.07,0,0.21,0,0.21,0,34187,26893,36,0.5,20,36,378,NA,4
10036,440,1999,6497,2362,1999,1999,8662,3248,2362,25987,0.43,0.1,0.03,0.08,0.1,0.1,0.02,0.06,0.08,0.01,25987,83812,37,0.44,16,35,271,51,3.6
10037,20112,NA,NA,NA,NA,NA,NA,20112,NA,NA,0.5,0,0,0,0,0,0,0.5,0,0,20112,39463,35,0.56,11,15,168,NA,2
10038,1593,5575,3717,22300,5575,22300,NA,11150,5575,NA,0.39,0.11,0.17,0.03,0.11,0.03,0,0.06,0.11,0,22300,82910,35,0.53,18,20,70,2,3.5
10039,27471,27471,13736,27471,NA,27471,13736,NA,NA,NA,0.12,0.12,0.25,0.12,0,0.12,0.25,0,0,0,27471,32257,32,0.55,18,18,191,NA,4
10040,5629,45033,22516,45033,11258,NA,45033,NA,15011,NA,0.4,0.05,0.1,0.05,0.2,0,0.05,0,0.15,0,45033,45811,38,0.53,19,46,160,NA,3.5
10044,NA,NA,11731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,11731,86483,40,0.54,0,0,0,NA,2.5
10065,1875,6000,30001,7500,4286,6000,NA,30001,4286,NA,0.35,0.11,0.02,0.09,0.15,0.11,0,0.02,0.15,0,30001,118310,40,0.56,12,15,43,4,3.6
10069,5231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,5231,155702,34,0.51,0,0,56,NA,5
10075,11676,23353,23353,11676,7784,3892,23353,NA,4671,NA,0.1,0.05,0.05,0.1,0.14,0.29,0.05,0,0.24,0,23353,114481,46,0.57,19,7,25,1,3.8
10128,4847,12601,12601,63006,21002,15752,63006,31503,12601,NA,0.33,0.13,0.13,0.03,0.08,0.1,0.03,0.05,0.13,0,63006,103817,39,0.57,11,34,124,NA,3.6
10162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,178822,41,0.54,0,0,0,NA,NA
10280,NA,NA,NA,NA,NA,9845,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,9845,146875,38,0.5,2,4,1,NA,2.5
