"","zipcode","pop_american","pop_asian","pop_chinese","pop_dessert","pop_european","pop_italian","pop_mexican","pop_other","pop_quickmeal","pop_seafood","prop_american","prop_asian","prop_chinese","prop_desert","prop_european","prop_italian","prop_mexican","prop_other","prop_quickmeal","prop_seafood","below5","X5_14","X15_24","X25_34","X35_44","X45_54","X55_64","X65above","median.age","Total_Population","Female.per","Transportation.stations","markets","crime","crime_level","Average_yelp","Median_income","income_rank","class"
"24",10028,3708.076923,9641,48205,24102.5,9641,9641,24102.5,16068.33333,8034.166667,NA,0.30952381,0.119047619,0.023809524,0.047619048,0.119047619,0.119047619,0.047619048,0.071428571,0.142857143,0,28,22,37,16,26,25,12,7,39.6,48205,0.559319573,13,28,129,"Relatively Safe",3.654761905,"111302",16,2
"25",10029,5672.214286,39705.5,19852.75,39705.5,19852.75,NA,9926.375,39705.5,7941.1,79411,0.29787234,0.042553191,0.085106383,0.042553191,0.085106383,0,0.170212766,0.042553191,0.212765957,0.021276596,22,5,3,31,37,33,22,24,33.6,79411,0.542997821,46,71,456,"Dangerous",3.744680851,"32500",41,4
"26",10030,7589.5,NA,30358,NA,NA,NA,15179,15179,NA,NA,0.444444444,0,0.111111111,0,0,0,0.222222222,0.222222222,0,0,9,11,8,25,26,5,34,36,34.1,30358,0.52137822,18,20,214,"Relatively Dangerous",3.555555556,"33720",40,4
"27",10031,6753.111111,15194.5,15194.5,30389,12155.6,60778,10129.66667,60778,30389,NA,0.264705882,0.117647059,0.117647059,0.058823529,0.147058824,0.029411765,0.176470588,0.029411765,0.058823529,0,24,16,5,23,26,14,31,30,34.4,60778,0.503784264,29,51,208,"Relatively Dangerous",3.764705882,"41848",36,4
"28",10032,7021,63189,21063,63189,63189,63189,31594.5,NA,10531.5,63189,0.36,0.04,0.12,0.04,0.04,0.04,0.08,0,0.24,0.04,19,18,11,18,38,27,11,29,34.2,63189,0.495719192,41,57,196,"Relatively Dangerous",3.6,"40054",37,4
"29",10033,11870.6,NA,19784.33333,59353,19784.33333,59353,NA,NA,14838.25,NA,0.294117647,0,0.176470588,0.058823529,0.176470588,0.058823529,0,0,0.235294118,0,12,13,10,28,26,22,17,23,35.4,59353,0.493926171,19,59,194,"Relatively Dangerous",3.441176471,"46349",32,4
"30",10034,3995.545455,43951,43951,14650.33333,10987.75,21975.5,21975.5,NA,14650.33333,NA,0.407407407,0.037037037,0.037037037,0.111111111,0.148148148,0.074074074,0.074074074,0,0.111111111,0,10,7,11,37,23,16,16,28,35.7,43951,0.518031444,19,35,151,"Relatively Dangerous",3.537037037,"45643",34,4
"31",10035,8546.75,34187,NA,17093.5,34187,NA,11395.66667,NA,11395.66667,NA,0.285714286,0.071428571,0,0.142857143,0.071428571,0,0.214285714,0,0.214285714,0,15,6,13,35,32,5,19,27,35.9,34187,0.504256004,20,36,378,"Dangerous",4.035714286,"26893",43,4
"32",10036,440.4576271,1999,6496.75,2362.454545,1999,1999,8662.333333,3248.375,2362.454545,25987,0.433823529,0.095588235,0.029411765,0.080882353,0.095588235,0.095588235,0.022058824,0.058823529,0.080882353,0.007352941,41,43,20,7,8,10,15,32,36.6,25987,0.437103167,16,35,271,"Dangerous",3.602941176,"83812",27,3
"33",10037,20112,NA,NA,NA,NA,NA,NA,20112,NA,NA,0.5,0,0,0,0,0,0,0.5,0,0,7,2,27,28,42,30,9,20,34.9,20112,0.564339698,11,15,168,"Relatively Dangerous",2,"39463",38,4
"34",10038,1592.857143,5575,3716.666667,22300,5575,22300,NA,11150,5575,NA,0.388888889,0.111111111,0.166666667,0.027777778,0.111111111,0.027777778,0,0.055555556,0.111111111,0,33,29,6,14,32,36,23,18,34.6,22300,0.5332287,18,20,70,"Relatively Safe",3.513888889,"82910",28,3
"35",10039,27471,27471,13735.5,27471,NA,27471,13735.5,NA,NA,NA,0.125,0.125,0.25,0.125,0,0.125,0.25,0,0,0,5,1,8,40,35,23,29,35,32.3,27471,0.554257217,18,18,191,"Relatively Dangerous",4,"32257",42,4
"36",10040,5629.125,45033,22516.5,45033,11258.25,NA,45033,NA,15011,NA,0.4,0.05,0.1,0.05,0.2,0,0.05,0,0.15,0,21,13,17,32,34,11,19,16,37.7,45033,0.533453245,19,46,160,"Relatively Dangerous",3.55,"45811",33,4
"37",10044,NA,NA,11731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,16,33,19,30,20,19,6,11,39.5,11731,0.538999233,0,0,0,"Safe",2.5,"86483",26,3
"38",10065,1875.0625,6000.2,30001,7500.25,4285.857143,6000.2,NA,30001,4285.857143,NA,0.347826087,0.108695652,0.02173913,0.086956522,0.152173913,0.108695652,0,0.02173913,0.152173913,0,14,26,34,22,17,19,37,5,39.5,30001,0.562214593,12,15,43,"Safe",3.641304348,"118310",11,2
"39",10069,5231,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,3,9,41,13,5,3,39,40,34.1,5231,0.508124642,0,0,56,"Relatively Safe",5,"155702",3,1
"40",10075,11676.5,23353,23353,11676.5,7784.333333,3892.166667,23353,NA,4670.6,NA,0.095238095,0.047619048,0.047619048,0.095238095,0.142857143,0.285714286,0.047619048,0,0.238095238,0,35,25,31,42,20,27,2,3,46.3,23353,0.565152229,19,7,25,"Safe",3.761904762,"114481",14,2
"41",10128,4846.615385,12601.2,12601.2,63006,21002,15751.5,63006,31503,12601.2,NA,0.333333333,0.128205128,0.128205128,0.025641026,0.076923077,0.102564103,0.025641026,0.051282051,0.128205128,0,16,23,32,20,24,8,25,13,38.9,63006,0.574469098,11,34,124,"Relatively Safe",3.615384615,"103817",21,2
"42",10162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,43,43,1,39,40,2,41.3,1253,0.541101357,0,0,0,"Safe",NA,"178822",2,1
"43",10280,NA,NA,NA,NA,NA,9845,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,4,3,38,33,2,3,35,37,37.5,9845,0.500152362,2,4,1,"Safe",2.5,"146875",4,1
