"","zipcode","pop_american","pop_asian","pop_chinese","pop_dessert","pop_european","pop_italian","pop_mexican","pop_other","pop_quickmeal","pop_seafood","prop_american","prop_asian","prop_chinese","prop_desert","prop_european","prop_italian","prop_mexican","prop_other","prop_quickmeal","prop_seafood","below5","X5_14","X15_24","X25_34","X35_44","X45_54","X55_64","X65above","median.age","Total_Population","Female.per","Transportation.stations","markets","crime","crime_level","Average_yelp","Median_income","income_rank","class"
"1",10002,2440.5,7809.6,2296.941176,9762,11156.57143,15619.2,19524,78096,7099.636364,78096,0.283185841,0.088495575,0.300884956,0.07079646,0.061946903,0.044247788,0.03539823,0.008849558,0.097345133,0.008849558,34,20,25,36,35,11,5,8,41.1,78096,0.518105921,41,72,430,"Dangerous",3.619469027,"35594",39,4
"2",10003,1071.075472,1455.564103,14191.75,5676.7,6307.444444,3784.466667,5676.7,8109.571429,6307.444444,14191.75,0.33125,0.24375,0.025,0.0625,0.05625,0.09375,0.0625,0.04375,0.05625,0.025,37,40,1,11,26,40,31,30,32.2,56767,0.51688481,24,57,305,"Dangerous",3.63125,"100791",24,2
"3",10004,169.1111111,1014.666667,3044,3044,3044,761,3044,NA,608.8,NA,0.529411765,0.088235294,0.029411765,0.029411765,0.029411765,0.117647059,0.029411765,0,0.147058824,0,42,24,18,9,7,21,12,38,33.9,3044,0.540078844,5,2,0,"Safe",3.838235294,"123056",8,1
"4",10005,1451.666667,8710,NA,NA,4355,NA,NA,NA,4355,NA,0.545454545,0.090909091,0,0,0.181818182,0,0,0,0.181818182,0,29,31,3,2,3,42,43,42,29.5,8710,0.517680827,5,4,15,"Safe",4,"130116",5,1
"5",10006,364.1111111,3277,NA,NA,NA,NA,NA,NA,1638.5,NA,0.75,0.083333333,0,0,0,0,0,0,0.166666667,0,2,39,21,1,10,43,42,43,31,3277,0.57827281,4,4,18,"Safe",3.75,"125364",6,1
"6",10007,748.8888889,1123.333333,NA,3370,2246.666667,3370,6740,3370,3370,NA,0.333333333,0.222222222,0,0.074074074,0.111111111,0.074074074,0.037037037,0.074074074,0.074074074,0,27,4,33,19,3,1,31,39,35.9,6740,0.410089021,16,10,26,"Safe",3.351851852,"234958",1,1
"7",10009,1868.71875,9966.5,29899.5,11959.8,7474.875,19933,19933,19933,6644.333333,NA,0.450704225,0.084507042,0.028169014,0.070422535,0.112676056,0.042253521,0.042253521,0.042253521,0.126760563,0,43,27,16,12,38,23,9,19,36.3,59799,0.554273483,31,56,218,"Dangerous",3.5,"60788",30,3
"8",10010,1263.615385,5475.666667,16427,16427,6570.8,6570.8,32854,16427,6570.8,NA,0.481481481,0.111111111,0.037037037,0.037037037,0.092592593,0.092592593,0.018518519,0.037037037,0.092592593,0,25,35,7,15,31,14,30,26,35,32854,0.494551653,30,32,184,"Relatively Dangerous",3.564814815,"110142",17,2
"9",10011,1145.545455,4582.181818,8400.666667,5600.444444,5600.444444,3600.285714,12601,16801.33333,7200.571429,50404,0.407407407,0.101851852,0.055555556,0.083333333,0.083333333,0.12962963,0.037037037,0.027777778,0.064814815,0.009259259,35,30,29,17,11,25,1,15,39.9,50404,0.495020236,24,55,252,"Dangerous",3.541666667,"114134",15,2
"10",10012,645.6842105,2453.6,24536,2044.666667,2726.222222,1887.384615,12268,3067,3067,12268,0.368932039,0.097087379,0.009708738,0.116504854,0.087378641,0.126213592,0.019417476,0.077669903,0.077669903,0.019417476,37,32,14,6,19,32,38,25,34.1,24536,0.486224323,9,24,234,"Dangerous",3.830097087,"101815",23,2
"11",10013,854.8787879,1567.277778,940.3666667,3526.375,14105.5,1410.55,14105.5,14105.5,2170.076923,NA,0.2578125,0.140625,0.234375,0.0625,0.015625,0.15625,0.015625,0.015625,0.1015625,0,12,20,26,26,9,34,12,20,36.9,28211,0.504165042,16,31,126,"Relatively Safe",3.6171875,"104167",20,2
"12",10014,925.4117647,6292.8,15732,4494.857143,1966.5,3146.4,10488,5244,3933,10488,0.361702128,0.053191489,0.021276596,0.074468085,0.170212766,0.106382979,0.031914894,0.063829787,0.085106383,0.031914894,39,33,40,5,16,13,26,22,36.6,31464,0.488272311,12,26,162,"Relatively Dangerous",3.515957447,"119026",9,2
"13",10016,1201.047619,2193.217391,5604.888889,50444,5604.888889,4585.818182,8407.333333,5044.4,10088.8,NA,0.362068966,0.198275862,0.077586207,0.00862069,0.077586207,0.094827586,0.051724138,0.086206897,0.043103448,0,29,36,21,4,43,36,27,17,33.3,50444,0.546526842,24,40,65,"Relatively Safe",3.844827586,"102703",22,2
"14",10017,551.1,1033.3125,8266.5,3306.6,1653.3,2755.5,16533,16533,2066.625,NA,0.379746835,0.202531646,0.025316456,0.063291139,0.126582278,0.075949367,0.012658228,0.012658228,0.101265823,0,29,42,28,8,15,35,23,9,37.7,16533,0.521804875,17,23,52,"Safe",3.594936709,"106795",18,2
"15",10018,276.6857143,968.4,3228,1614,4842,3228,NA,3228,1383.428571,NA,0.507246377,0.144927536,0.043478261,0.086956522,0.028985507,0.043478261,0,0.043478261,0.101449275,0,29,41,14,3,6,38,41,41,31.2,9684,0.502478315,10,30,126,"Relatively Safe",3.282608696,"105479",19,2
"16",10019,564.3571429,2194.722222,7901,9876.25,3292.083333,1975.25,4938.125,6584.166667,3038.846154,39505,0.445859873,0.114649682,0.031847134,0.025477707,0.076433121,0.127388535,0.050955414,0.038216561,0.082802548,0.006369427,39,37,30,10,14,18,8,14,39.2,39505,0.489457031,37,46,108,"Relatively Safe",3.649681529,"94477",25,3
"17",10021,3232.928571,9052.2,15087,11315.25,15087,6465.857143,45261,22630.5,15087,NA,0.333333333,0.119047619,0.071428571,0.095238095,0.071428571,0.166666667,0.023809524,0.047619048,0.071428571,0,8,18,42,21,12,41,17,4,38.4,45261,0.554318287,17,44,81,"Relatively Safe",3.571428571,"115681",12,2
"18",10022,605.24,1681.222222,15131,10087.33333,4323.142857,3782.75,NA,6052.4,3782.75,NA,0.495049505,0.178217822,0.01980198,0.02970297,0.069306931,0.079207921,0,0.04950495,0.079207921,0,26,38,39,26,20,27,19,1,45.9,30262,0.553499438,19,29,55,"Safe",3.623762376,"123693",7,1
"19",10023,4307.642857,15076.75,30153.5,30153.5,12061.4,8615.285714,30153.5,30153.5,15076.75,60307,0.325581395,0.093023256,0.046511628,0.046511628,0.11627907,0.162790698,0.046511628,0.046511628,0.093023256,0.023255814,10,27,34,38,12,17,4,6,42.5,60307,0.54839405,37,24,116,"Relatively Safe",3.709302326,"115080",13,2
"20",10024,3901.066667,8359.428571,19505.33333,19505.33333,19505.33333,14629,58516,19505.33333,19505.33333,58516,0.348837209,0.162790698,0.069767442,0.069767442,0.069767442,0.093023256,0.023255814,0.069767442,0.069767442,0.023255814,19,15,36,39,18,2,3,9,43,58516,0.540125778,34,32,148,"Relatively Dangerous",3.604651163,"118594",10,2
"21",10025,10524.11111,6765.5,11839.625,18943.4,15786.16667,13531,13531,47358.5,15786.16667,NA,0.140625,0.21875,0.125,0.078125,0.09375,0.109375,0.109375,0.03125,0.09375,0,22,16,24,41,38,9,7,12,40.6,94717,0.558189132,50,57,320,"Dangerous",3.5234375,"80025",29,3
"22",10026,4282.222222,NA,12846.66667,38540,19270,38540,19270,19270,NA,NA,0.45,0,0.15,0.05,0.1,0.05,0.1,0.1,0,0,6,8,21,24,25,5,27,33,34.4,38540,0.528541775,23,26,353,"Dangerous",3.825,"52082",31,3
"23",10027,4274.666667,12824,32060,64120,21373.33333,12824,21373.33333,10686.66667,16030,NA,0.340909091,0.113636364,0.045454545,0.022727273,0.068181818,0.113636364,0.068181818,0.136363636,0.090909091,0,18,10,2,34,41,30,35,33,30.6,64120,0.533983157,51,42,309,"Dangerous",3.556818182,"42754",35,4
