ZIP,Total_Population,Female.per,under5,14-May,15-24,25-34,35-44,45-54,55-64,65above,Median
10001,23332,0.480713184,0.021,0.076,0.158,0.222,0.167,0.125,0.112,0.119,35.8
10002,78096,0.518105921,0.036,0.081,0.111,0.184,0.136,0.14,0.129,0.183,41.1
10003,56767,0.51688481,0.031,0.025,0.231,0.271,0.142,0.091,0.1,0.109,32.2
10004,3044,0.540078844,0.028,0.075,0.127,0.291,0.181,0.125,0.118,0.055,33.9
10005,8710,0.517680827,0.041,0.048,0.162,0.42,0.215,0.07,0.027,0.017,29.5
10006,3277,0.57827281,0.098,0.026,0.118,0.452,0.171,0.069,0.066,0,31
10007,6740,0.410089021,0.044,0.118,0.068,0.245,0.215,0.16,0.1,0.05,35.9
10009,59799,0.554273483,0.026,0.059,0.131,0.269,0.131,0.123,0.122,0.139,36.3
10010,32854,0.494551653,0.046,0.041,0.153,0.26,0.141,0.135,0.101,0.123,35
10011,50404,0.495020236,0.035,0.05,0.078,0.251,0.17,0.122,0.142,0.152,39.9
10012,24536,0.486224323,0.031,0.047,0.132,0.311,0.152,0.114,0.089,0.124,34.1
10013,28211,0.504165042,0.062,0.081,0.11,0.21,0.173,0.111,0.118,0.135,36.9
10014,31464,0.488272311,0.03,0.044,0.051,0.334,0.163,0.138,0.106,0.134,36.6
10016,50444,0.546526842,0.041,0.039,0.118,0.342,0.109,0.104,0.104,0.143,33.3
10017,16533,0.521804875,0.041,0.021,0.082,0.294,0.165,0.108,0.108,0.181,37.7
10018,9684,0.502478315,0.041,0.022,0.132,0.416,0.192,0.095,0.07,0.032,31.2
10019,39505,0.489457031,0.03,0.033,0.076,0.286,0.167,0.128,0.125,0.155,39.2
10021,45261,0.554318287,0.072,0.082,0.04,0.228,0.168,0.089,0.114,0.207,38.4
10022,30262,0.553499438,0.045,0.03,0.052,0.21,0.151,0.12,0.113,0.279,45.9
10023,60307,0.54839405,0.067,0.059,0.063,0.182,0.168,0.132,0.13,0.199,42.5
10024,58516,0.540125778,0.052,0.084,0.057,0.181,0.159,0.154,0.132,0.181,43
10025,94717,0.558189132,0.05,0.083,0.117,0.176,0.131,0.142,0.127,0.174,40.6
10026,38540,0.528541775,0.079,0.101,0.118,0.215,0.143,0.145,0.104,0.095,34.4
10027,64120,0.533983157,0.053,0.098,0.225,0.187,0.126,0.118,0.098,0.095,30.6
10028,48205,0.559319573,0.043,0.08,0.054,0.257,0.142,0.122,0.118,0.184,39.6
10029,79411,0.542997821,0.05,0.115,0.162,0.194,0.132,0.112,0.109,0.126,33.6
10030,30358,0.52137822,0.071,0.095,0.147,0.212,0.142,0.145,0.099,0.089,34.1
10031,60778,0.503784264,0.048,0.083,0.16,0.223,0.142,0.135,0.1,0.109,34.4
10032,63189,0.495719192,0.052,0.082,0.136,0.246,0.131,0.12,0.119,0.114,34.2
10033,59353,0.493926171,0.062,0.09,0.143,0.198,0.142,0.124,0.114,0.127,35.4
10034,43951,0.518031444,0.067,0.102,0.136,0.183,0.145,0.134,0.115,0.118,35.7
10035,34187,0.504256004,0.059,0.104,0.135,0.186,0.139,0.145,0.113,0.119,35.9
10036,25987,0.437103167,0.029,0.019,0.119,0.298,0.178,0.141,0.117,0.099,36.6
10037,20112,0.564339698,0.075,0.124,0.105,0.198,0.123,0.118,0.122,0.135,34.9
