ZIP,Total_Population,Female.per,under5,14-May,15-24,25-34,35-44,45-54,55-64,65above,Median
10038,22300,0.5332287,0.037,0.054,0.155,0.262,0.139,0.104,0.108,0.141,34.6
10039,27471,0.554257217,0.08,0.14,0.147,0.179,0.136,0.123,0.102,0.093,32.3
10040,45033,0.533453245,0.051,0.09,0.13,0.192,0.138,0.14,0.113,0.146,37.7
10044,11731,0.538999233,0.057,0.044,0.12,0.197,0.151,0.126,0.128,0.177,39.5
10065,30001,0.562214593,0.06,0.065,0.063,0.224,0.16,0.126,0.097,0.205,39.5
10069,5231,0.508124642,0.094,0.099,0.049,0.267,0.214,0.146,0.086,0.045,34.1
10075,23353,0.565152229,0.035,0.067,0.073,0.167,0.151,0.12,0.138,0.249,46.3
10128,63006,0.574469098,0.057,0.077,0.072,0.233,0.144,0.143,0.107,0.167,38.9
10162,1253,0.541101357,0.152,0.091,0,0.07,0.248,0.092,0.083,0.264,41.3
10280,9845,0.500152362,0.083,0.119,0.053,0.188,0.239,0.146,0.098,0.074,37.5
10282,5635,0.483939663,0.166,0.091,0.049,0.213,0.291,0.105,0.035,0.05,34.5
10301,39519,0.506718287,0.071,0.129,0.154,0.116,0.134,0.143,0.125,0.128,36.9
10302,17758,0.485640275,0.064,0.138,0.131,0.183,0.114,0.144,0.118,0.108,33.6
10303,24562,0.527970035,0.067,0.143,0.17,0.149,0.12,0.148,0.11,0.093,32.5
10304,42054,0.525966614,0.059,0.137,0.152,0.136,0.127,0.124,0.126,0.139,36.5
10305,41533,0.521994559,0.06,0.116,0.11,0.148,0.14,0.144,0.139,0.143,39.6
10306,55031,0.527193764,0.048,0.117,0.124,0.119,0.131,0.146,0.144,0.171,42.3
10307,15275,0.510245499,0.057,0.143,0.141,0.13,0.129,0.193,0.091,0.116,38
10308,30347,0.515273338,0.049,0.112,0.124,0.119,0.134,0.166,0.134,0.162,42.7
10309,33459,0.498909113,0.056,0.139,0.119,0.124,0.152,0.143,0.142,0.125,39.8
10310,24250,0.512783505,0.068,0.15,0.145,0.128,0.124,0.15,0.127,0.108,35.6
10312,60951,0.515249955,0.052,0.121,0.125,0.113,0.133,0.145,0.144,0.167,41.9
10314,88585,0.517435232,0.058,0.115,0.118,0.133,0.123,0.149,0.136,0.168,41.1
10451,48289,0.543891984,0.078,0.15,0.163,0.148,0.12,0.13,0.098,0.113,32.2
10452,75288,0.541733078,0.079,0.165,0.166,0.155,0.133,0.131,0.095,0.076,31
10453,80516,0.551393512,0.078,0.154,0.177,0.16,0.121,0.135,0.096,0.079,30.1
10454,38938,0.516821614,0.084,0.177,0.188,0.146,0.134,0.112,0.074,0.085,28.3
10455,42779,0.51485542,0.093,0.156,0.151,0.173,0.123,0.121,0.095,0.088,30.5
10456,92712,0.544007248,0.082,0.166,0.17,0.147,0.122,0.128,0.103,0.082,30
10457,74010,0.525199297,0.092,0.163,0.166,0.154,0.128,0.128,0.086,0.083,29.6
10458,81698,0.518568386,0.082,0.146,0.204,0.16,0.131,0.116,0.089,0.072,29.1
10459,47972,0.527036605,0.082,0.156,0.173,0.161,0.121,0.12,0.097,0.09,29.8
10460,60266,0.542212856,0.084,0.149,0.165,0.165,0.111,0.147,0.089,0.09,30.8
10461,50255,0.516386429,0.063,0.102,0.117,0.166,0.138,0.149,0.113,0.152,38.1
10462,78725,0.530987615,0.068,0.128,0.129,0.173,0.145,0.132,0.113,0.112,35.1
10463,71657,0.520772569,0.074,0.117,0.109,0.165,0.132,0.123,0.112,0.168,37.7
10464,4300,0.530930233,0.035,0.128,0.117,0.086,0.099,0.174,0.116,0.245,47.5
10465,44950,0.517152392,0.056,0.11,0.145,0.115,0.13,0.138,0.137,0.169,40.5
10466,71645,0.544406448,0.067,0.127,0.156,0.135,0.126,0.143,0.121,0.125,35.9
10467,103045,0.518433694,0.084,0.136,0.14,0.167,0.132,0.13,0.1,0.111,33.4
10468,75537,0.5236639,0.09,0.13,0.158,0.175,0.126,0.131,0.101,0.089,32
10469,71664,0.54394117,0.052,0.12,0.151,0.131,0.129,0.147,0.116,0.154,38.6
10470,14574,0.514409222,0.059,0.1,0.114,0.165,0.126,0.147,0.123,0.166,39.8
10471,21601,0.528956993,0.059,0.087,0.139,0.127,0.116,0.12,0.132,0.22,42.7
10472,68972,0.51638346,0.082,0.148,0.155,0.166,0.13,0.122,0.091,0.106,31.6
10473,61818,0.55338251,0.058,0.139,0.162,0.133,0.118,0.14,0.12,0.13,35.7
10474,12793,0.471038849,0.075,0.165,0.176,0.187,0.128,0.144,0.059,0.066,30
10475,44749,0.566359025,0.044,0.097,0.136,0.088,0.125,0.148,0.142,0.22,46.1
10501,1226,0.497553018,0.047,0.122,0.126,0.06,0.106,0.178,0.195,0.166,47.4
10502,5513,0.512969345,0.041,0.125,0.144,0.069,0.111,0.166,0.15,0.194,46
10503,137,0.554744526,0,0,0,0,0.08,0.095,0.547,0.278,60.6
10504,7903,0.497279514,0.048,0.172,0.137,0.042,0.103,0.185,0.17,0.143,44.9
10505,905,0.594475138,0.061,0.253,0.102,0.052,0.145,0.145,0.1,0.142,38.3
10506,5963,0.529096093,0.059,0.203,0.102,0.04,0.128,0.192,0.122,0.154,42.7
10507,6859,0.583029596,0.04,0.124,0.115,0.21,0.142,0.179,0.096,0.094,35.4
10509,19419,0.496421031,0.051,0.129,0.139,0.114,0.123,0.175,0.139,0.13,41.4
10510,10423,0.527679171,0.049,0.152,0.14,0.055,0.114,0.16,0.159,0.171,44.2
10511,2263,0.500662837,0.049,0.112,0.127,0.096,0.136,0.187,0.154,0.139,44.2
10512,25076,0.514077205,0.042,0.124,0.107,0.097,0.126,0.174,0.165,0.165,45.3
10514,12688,0.489281211,0.062,0.192,0.131,0.041,0.134,0.184,0.149,0.107,40.8
10516,5486,0.479948961,0.038,0.139,0.084,0.093,0.111,0.163,0.184,0.188,47.3
10517,584,0.501712329,0.062,0.071,0.214,0.188,0.077,0.154,0.13,0.104,31.1
10518,1478,0.51285521,0.02,0.14,0.132,0.056,0.07,0.22,0.187,0.175,48.1
10519,137,0.540145985,0,0,0.146,0,0.176,0.299,0.08,0.299,52.4
10520,12797,0.525982652,0.062,0.131,0.089,0.086,0.127,0.151,0.163,0.191,45.8
10522,11058,0.486616025,0.054,0.089,0.184,0.106,0.122,0.145,0.147,0.153,41.1
10523,9058,0.454846544,0.052,0.115,0.129,0.179,0.138,0.128,0.15,0.109,36.4
10524,4268,0.502343018,0.045,0.087,0.119,0.078,0.125,0.148,0.193,0.205,49.4
10526,1522,0.565045992,0.074,0.134,0.106,0.036,0.135,0.206,0.137,0.172,45.7
10527,836,0.491626794,0,0.188,0.098,0.042,0.102,0.235,0.126,0.209,47.7
10528,13066,0.510867901,0.04,0.166,0.112,0.109,0.131,0.168,0.125,0.149,40.5
10530,12800,0.5528125,0.047,0.091,0.079,0.122,0.128,0.151,0.14,0.242,47.5
10532,5019,0.507073122,0.04,0.14,0.115,0.103,0.113,0.173,0.145,0.171,43.7
10533,7590,0.510013175,0.049,0.171,0.138,0.049,0.125,0.185,0.149,0.134,43.3
10535,685,0.611678832,0.098,0.152,0.062,0.066,0.088,0.156,0.263,0.115,45.6
10536,10775,0.494477958,0.042,0.147,0.155,0.063,0.11,0.204,0.148,0.131,44.3
10537,1541,0.480207657,0,0.115,0.142,0.074,0.163,0.254,0.131,0.121,45.4
10538,16718,0.51130518,0.085,0.167,0.095,0.074,0.145,0.176,0.11,0.148,40.9
10541,26371,0.499677676,0.049,0.123,0.162,0.099,0.11,0.19,0.132,0.135,41.1
10543,20643,0.520370101,0.049,0.149,0.123,0.107,0.132,0.153,0.127,0.16,40
10545,131,0,0,0,0.069,0.351,0.076,0.076,0.122,0.306,52.1
10546,1433,0.492672715,0.038,0.185,0.148,0.044,0.133,0.209,0.103,0.14,43.8
10547,7461,0.489746683,0.037,0.111,0.185,0.1,0.113,0.213,0.139,0.102,43.2
10548,3398,0.485579753,0.044,0.125,0.097,0.11,0.092,0.136,0.207,0.189,47.4
10549,16557,0.454550945,0.06,0.12,0.144,0.124,0.131,0.155,0.129,0.137,39.9
10550,37679,0.532365509,0.082,0.129,0.142,0.157,0.129,0.131,0.11,0.12,34.4
10552,19620,0.554077472,0.06,0.088,0.083,0.155,0.124,0.137,0.165,0.188,44.1
10553,10606,0.565717518,0.074,0.104,0.145,0.113,0.136,0.164,0.127,0.137,40.2
10560,4930,0.522718053,0.026,0.123,0.133,0.06,0.091,0.194,0.163,0.21,49.8
10562,31745,0.495637108,0.06,0.125,0.097,0.151,0.15,0.143,0.135,0.139,38.9
10566,23977,0.498310881,0.068,0.119,0.114,0.123,0.171,0.145,0.114,0.146,39.3
10567,20652,0.510652721,0.058,0.139,0.117,0.094,0.101,0.171,0.155,0.165,44.5
10570,12966,0.508869351,0.048,0.157,0.195,0.065,0.115,0.141,0.143,0.136,39.4
10573,38958,0.501334771,0.062,0.133,0.118,0.132,0.161,0.134,0.124,0.136,38.1
10576,4878,0.566625666,0.041,0.131,0.092,0.036,0.095,0.209,0.172,0.224,50.8
10577,6508,0.564689613,0.017,0.056,0.655,0.02,0.06,0.065,0.055,0.072,20.5
10578,843,0.511269276,0,0.104,0.251,0.074,0.036,0.358,0.14,0.037,45.5
10579,9438,0.496927315,0.047,0.147,0.084,0.105,0.152,0.156,0.153,0.156,42.7
10580,17270,0.516676317,0.054,0.197,0.115,0.043,0.13,0.184,0.124,0.153,42.6
10583,40054,0.519698407,0.055,0.176,0.106,0.054,0.137,0.175,0.137,0.16,43.3
10588,2748,0.558951965,0.013,0.084,0.103,0.125,0.071,0.195,0.168,0.241,50.3
10589,9229,0.544912775,0.026,0.121,0.073,0.036,0.112,0.105,0.131,0.396,57
10590,6937,0.485512469,0.052,0.147,0.136,0.07,0.111,0.212,0.144,0.128,44.2
10591,23394,0.534923485,0.055,0.131,0.104,0.136,0.139,0.149,0.128,0.158,40.1
10594,5076,0.487194641,0.062,0.115,0.169,0.094,0.115,0.137,0.15,0.158,39.7
10595,8237,0.442029865,0.036,0.092,0.168,0.151,0.135,0.143,0.127,0.148,38.9
10596,1727,0.505500869,0.092,0.135,0.145,0.098,0.129,0.208,0.118,0.075,35.9
10597,1154,0.555459272,0,0.107,0.222,0,0.101,0.212,0.086,0.272,52
10598,29489,0.509240734,0.045,0.151,0.125,0.069,0.121,0.161,0.154,0.174,44.2
10601,11519,0.51896866,0.063,0.121,0.091,0.182,0.156,0.111,0.12,0.156,37.3
10603,17429,0.55642894,0.046,0.114,0.135,0.145,0.131,0.156,0.132,0.141,38.7
10604,11153,0.492244239,0.048,0.125,0.128,0.129,0.111,0.172,0.122,0.165,41.6
10605,17470,0.519004007,0.053,0.119,0.104,0.128,0.136,0.116,0.153,0.191,42.2
10606,18312,0.508355177,0.078,0.115,0.127,0.166,0.161,0.135,0.095,0.123,35.5
10607,6806,0.476197473,0.039,0.099,0.111,0.112,0.134,0.168,0.148,0.189,45.4
10701,58841,0.534406281,0.06,0.134,0.144,0.149,0.13,0.124,0.118,0.141,35.8
10703,21039,0.514140406,0.059,0.119,0.155,0.128,0.135,0.124,0.106,0.174,38
10704,32125,0.517945525,0.07,0.098,0.111,0.136,0.139,0.163,0.117,0.166,40.5
10705,41008,0.518947522,0.077,0.132,0.149,0.151,0.128,0.15,0.09,0.123,34.4
10706,8776,0.523131267,0.052,0.12,0.123,0.07,0.115,0.157,0.161,0.202,46.3
10707,10253,0.507558763,0.057,0.115,0.124,0.117,0.151,0.138,0.119,0.179,40.1
10708,22632,0.551475786,0.05,0.125,0.123,0.083,0.138,0.159,0.13,0.192,43.7
10709,9090,0.541474147,0.043,0.127,0.122,0.099,0.125,0.156,0.139,0.189,44
10710,27602,0.541881023,0.05,0.1,0.127,0.127,0.124,0.149,0.134,0.189,43.5
10801,42154,0.495896,0.059,0.111,0.173,0.148,0.123,0.14,0.122,0.124,35.4
10803,12560,0.494585987,0.059,0.169,0.127,0.083,0.142,0.173,0.111,0.136,40.3
10804,14634,0.516810168,0.059,0.143,0.108,0.057,0.123,0.148,0.151,0.211,45.5
10805,18503,0.521537048,0.049,0.09,0.141,0.143,0.133,0.14,0.115,0.189,41.3
10901,23959,0.512959639,0.055,0.132,0.122,0.098,0.118,0.16,0.117,0.198,43.2
10910,27,1,0,0,0,0,0,0,1,0,-
10913,5626,0.469249911,0.041,0.134,0.217,0.063,0.104,0.156,0.116,0.169,39.6
10914,455,0.676923077,0,0.193,0.117,0.042,0.163,0.094,0.163,0.228,43.7
10915,14,1,0,0,0,0,0,0,1,0,-
10916,4265,0.504806565,0.043,0.156,0.142,0.109,0.1,0.159,0.142,0.149,41.5
10917,2134,0.488753515,0.058,0.176,0.123,0.071,0.158,0.166,0.126,0.122,39.7
10918,12264,0.505952381,0.064,0.128,0.152,0.133,0.133,0.163,0.119,0.108,36.7
10919,1331,0.415477085,0.059,0.103,0.179,0.049,0.113,0.173,0.176,0.148,44
10920,8877,0.498141264,0.037,0.105,0.163,0.105,0.101,0.164,0.148,0.177,43.7
10921,3856,0.495850622,0.041,0.168,0.113,0.104,0.111,0.184,0.14,0.139,42.9
10922,1568,0.455357143,0.035,0.091,0.134,0.141,0.129,0.185,0.145,0.14,41.3
10923,8796,0.467485221,0.068,0.115,0.145,0.132,0.116,0.175,0.131,0.118,39.5
10924,13388,0.486853899,0.05,0.116,0.131,0.106,0.115,0.16,0.15,0.172,43.5
10925,4061,0.48657966,0.101,0.05,0.078,0.089,0.115,0.183,0.244,0.14,50.3
10926,3108,0.507400257,0.049,0.126,0.13,0.175,0.137,0.144,0.142,0.097,37.6
10927,12120,0.513531353,0.063,0.144,0.155,0.162,0.117,0.123,0.112,0.124,32.9
10928,4004,0.495504496,0.049,0.072,0.126,0.139,0.13,0.199,0.12,0.165,43.6
10930,8784,0.495560109,0.065,0.156,0.152,0.08,0.123,0.183,0.127,0.114,38.3
10931,887,0.514092446,0.078,0.13,0.105,0.085,0.146,0.181,0.124,0.151,41.2
10932,106,0.764150943,0,0,0.339,0,0,0.085,0.274,0.302,57
10933,927,0.501618123,0.079,0.119,0.115,0.218,0.103,0.192,0.161,0.013,30.7
10940,49194,0.513253649,0.057,0.133,0.157,0.125,0.133,0.151,0.117,0.127,37
10941,13242,0.488370337,0.065,0.113,0.145,0.113,0.134,0.173,0.134,0.123,39.9
10950,49712,0.501428227,0.138,0.231,0.164,0.113,0.107,0.097,0.085,0.065,22.7
10952,41631,0.50258221,0.142,0.243,0.181,0.111,0.083,0.074,0.08,0.086,20.1
10953,190,0.578947368,0,0.2,0,0.042,0.063,0.337,0.084,0.274,46
10954,23226,0.516360975,0.066,0.114,0.098,0.123,0.116,0.153,0.151,0.179,44
10956,31450,0.512464229,0.043,0.129,0.126,0.086,0.114,0.162,0.148,0.192,45.2
10958,3121,0.422300545,0.038,0.112,0.142,0.092,0.17,0.175,0.133,0.138,42.4
10960,15357,0.480823077,0.052,0.114,0.129,0.123,0.129,0.143,0.141,0.169,41.4
10962,5581,0.498476975,0.03,0.118,0.111,0.091,0.106,0.196,0.14,0.208,47.8
10963,4263,0.32254281,0.021,0.094,0.102,0.105,0.242,0.217,0.138,0.081,41.9
10964,1367,0.524506218,0.013,0.063,0.169,0.074,0.065,0.16,0.15,0.306,53.1
10965,15149,0.531190178,0.053,0.14,0.127,0.101,0.107,0.169,0.125,0.178,43
10968,2249,0.515340151,0.05,0.049,0.076,0.11,0.092,0.12,0.236,0.267,55.1
10969,1403,0.490377762,0.039,0.139,0.187,0.066,0.114,0.238,0.081,0.136,43.5
10970,9773,0.521641257,0.056,0.119,0.121,0.141,0.109,0.138,0.167,0.149,41.9
10973,2322,0.47459087,0.034,0.097,0.213,0.091,0.092,0.221,0.148,0.104,43.6
10974,3208,0.499688279,0.035,0.134,0.164,0.089,0.125,0.177,0.132,0.144,41.8
10975,291,0.453608247,0,0.158,0.164,0.034,0.271,0.096,0,0.277,44.2
10976,2699,0.612819563,0.026,0.095,0.244,0.091,0.11,0.141,0.07,0.223,41
10977,63319,0.500765963,0.115,0.197,0.143,0.147,0.123,0.098,0.083,0.094,28.2
10979,283,0.180212014,0,0.364,0,0.127,0,0.3,0.208,0.001,45.1
10980,13997,0.532971351,0.037,0.118,0.16,0.112,0.103,0.173,0.123,0.174,43
10983,5674,0.512865703,0.036,0.172,0.114,0.069,0.108,0.135,0.141,0.225,45
10984,3020,0.571523179,0.029,0.092,0.16,0.099,0.156,0.135,0.176,0.153,44.1
10985,38,0.5,0,0,0,0.263,0.263,0.237,0,0.237,35.9
10986,1696,0.47759434,0.075,0.124,0.174,0.043,0.135,0.187,0.184,0.078,41.4
10987,3280,0.486280488,0.038,0.121,0.103,0.091,0.102,0.174,0.144,0.227,48.3
10988,711,0.489451477,0.063,0.132,0.118,0.07,0.168,0.136,0.151,0.162,42.6
10989,10333,0.536533437,0.06,0.128,0.096,0.088,0.117,0.178,0.152,0.181,45.8
10990,19678,0.508029271,0.036,0.126,0.139,0.073,0.106,0.185,0.146,0.189,46
10992,9197,0.509731434,0.043,0.108,0.196,0.088,0.079,0.2,0.147,0.139,43.8
10993,4996,0.542233787,0.046,0.158,0.185,0.129,0.121,0.096,0.098,0.167,32.6
10994,7652,0.525091479,0.044,0.143,0.129,0.066,0.123,0.174,0.143,0.178,44
10996,6612,0.335148215,0.078,0.125,0.549,0.101,0.079,0.054,0.009,0.005,20.9
10998,2824,0.478399433,0.063,0.141,0.17,0.064,0.156,0.203,0.099,0.104,40.5
11001,27650,0.505497288,0.05,0.127,0.119,0.119,0.126,0.15,0.152,0.157,41.7
11003,45480,0.512005277,0.04,0.117,0.157,0.14,0.128,0.152,0.136,0.13,38.1
11004,14722,0.535796767,0.054,0.072,0.127,0.15,0.096,0.152,0.169,0.18,45.1
11005,1926,0.663551402,0,0,0,0.004,0,0.063,0.06,0.873,80.5
11010,24539,0.504910551,0.054,0.112,0.126,0.121,0.116,0.152,0.141,0.178,42.5
11020,6285,0.515831344,0.021,0.158,0.151,0.068,0.128,0.175,0.131,0.168,43.1
11021,17856,0.546314964,0.063,0.114,0.077,0.097,0.117,0.145,0.141,0.246,47.7
11023,9825,0.509312977,0.086,0.16,0.117,0.097,0.1,0.132,0.127,0.181,39
11024,7790,0.490243902,0.074,0.162,0.185,0.099,0.074,0.111,0.116,0.179,32.2
11030,17642,0.531969164,0.047,0.148,0.107,0.063,0.095,0.173,0.138,0.229,47.6
11040,41381,0.522776153,0.053,0.121,0.118,0.106,0.118,0.157,0.139,0.188,43.4
11042,549,0.653916211,0,0,0,0,0,0,0.022,0.978,83.3
11050,30450,0.517504105,0.07,0.129,0.096,0.089,0.131,0.143,0.137,0.205,43.4
11096,7701,0.490325932,0.072,0.14,0.148,0.134,0.123,0.142,0.115,0.126,35.3
11101,26505,0.495793247,0.054,0.079,0.116,0.231,0.174,0.143,0.104,0.099,35.7
11102,33750,0.50557037,0.048,0.078,0.122,0.279,0.152,0.123,0.092,0.106,33.6
11103,38861,0.503692648,0.045,0.064,0.112,0.31,0.153,0.112,0.091,0.113,33.9
11104,26102,0.51141675,0.054,0.075,0.081,0.21,0.199,0.136,0.119,0.126,38.8
11105,37297,0.503204011,0.049,0.073,0.114,0.268,0.149,0.128,0.103,0.116,34.7
11106,39409,0.50803116,0.05,0.079,0.092,0.253,0.189,0.123,0.086,0.128,36
11109,4964,0.488517325,0.101,0.025,0.031,0.484,0.202,0.088,0.046,0.023,31.6
11201,60061,0.510181316,0.07,0.068,0.101,0.259,0.184,0.116,0.09,0.112,35.1
11203,75920,0.563948894,0.059,0.116,0.131,0.137,0.125,0.135,0.129,0.168,39.8
11204,79332,0.506579943,0.088,0.148,0.123,0.144,0.132,0.116,0.118,0.131,34.7
11205,44818,0.538845999,0.094,0.148,0.169,0.196,0.148,0.093,0.077,0.075,29.8
11206,86486,0.513031011,0.084,0.156,0.159,0.21,0.115,0.099,0.081,0.096,29.1
11207,93251,0.548197875,0.072,0.142,0.163,0.157,0.122,0.135,0.111,0.098,32.5
11208,95715,0.531400512,0.083,0.145,0.159,0.157,0.131,0.136,0.108,0.081,31.8
11209,67822,0.527203562,0.064,0.097,0.096,0.175,0.141,0.145,0.125,0.157,40
11210,68435,0.545130416,0.069,0.147,0.153,0.135,0.138,0.124,0.12,0.114,34.5
11211,99964,0.498609499,0.103,0.117,0.119,0.276,0.148,0.085,0.072,0.08,30.4
11212,86469,0.576333715,0.083,0.135,0.144,0.161,0.128,0.135,0.101,0.113,33.2
11213,65434,0.551074365,0.075,0.129,0.156,0.165,0.126,0.128,0.113,0.108,33.3
11214,91728,0.510640153,0.063,0.106,0.11,0.16,0.141,0.137,0.127,0.156,39.3
11215,69965,0.516686915,0.078,0.097,0.081,0.236,0.199,0.119,0.097,0.093,35.3
11216,55816,0.521570876,0.049,0.08,0.134,0.263,0.145,0.118,0.108,0.103,33.9
11217,38670,0.525135764,0.073,0.076,0.076,0.264,0.19,0.117,0.098,0.106,35.5
11218,74831,0.507503575,0.091,0.148,0.121,0.169,0.149,0.115,0.105,0.102,33.3
11219,96287,0.492319835,0.123,0.181,0.147,0.153,0.113,0.09,0.087,0.106,27.9
11220,101006,0.491693563,0.082,0.136,0.12,0.192,0.157,0.125,0.094,0.094,32.9
11221,84034,0.517766618,0.072,0.113,0.168,0.2,0.134,0.125,0.094,0.094,31.3
11222,35695,0.522258019,0.039,0.049,0.088,0.335,0.174,0.111,0.106,0.098,34.5
11223,79730,0.516129437,0.085,0.119,0.126,0.157,0.124,0.12,0.114,0.155,35.9
11224,43444,0.553263972,0.05,0.102,0.114,0.114,0.106,0.119,0.15,0.245,46.4
11225,60323,0.542313877,0.067,0.108,0.127,0.209,0.134,0.117,0.12,0.118,34.3
11226,101787,0.551259002,0.07,0.128,0.134,0.182,0.14,0.123,0.112,0.111,34.1
11228,46164,0.517697773,0.07,0.107,0.114,0.147,0.139,0.139,0.128,0.156,39.8
11229,82914,0.519176496,0.063,0.114,0.119,0.131,0.123,0.135,0.146,0.169,40.6
11230,88933,0.515590388,0.089,0.149,0.133,0.14,0.118,0.11,0.116,0.145,34.1
11231,36302,0.530907388,0.076,0.103,0.081,0.211,0.184,0.129,0.115,0.101,36.2
11232,29387,0.46680505,0.06,0.125,0.135,0.223,0.16,0.143,0.081,0.073,33
11233,72159,0.554539281,0.075,0.139,0.15,0.162,0.134,0.138,0.092,0.11,33
11234,95546,0.529587843,0.057,0.131,0.125,0.131,0.122,0.138,0.144,0.152,39.9
11235,78237,0.524010379,0.057,0.098,0.095,0.133,0.132,0.137,0.134,0.214,43.9
11236,100049,0.559965617,0.058,0.123,0.149,0.139,0.128,0.146,0.137,0.12,37.5
11237,53678,0.483680465,0.065,0.124,0.176,0.243,0.155,0.108,0.071,0.058,30
11238,53992,0.525633427,0.058,0.079,0.088,0.261,0.174,0.11,0.111,0.119,35.6
11239,12468,0.606272056,0.047,0.1,0.1,0.117,0.104,0.119,0.121,0.292,47.9
11354,58551,0.528838107,0.05,0.084,0.094,0.157,0.128,0.162,0.151,0.174,44.2
11355,82028,0.521638953,0.048,0.091,0.109,0.152,0.142,0.163,0.135,0.16,41.9
11356,24405,0.503831182,0.081,0.113,0.137,0.154,0.127,0.143,0.127,0.118,35.8
11357,39259,0.527267633,0.058,0.105,0.097,0.111,0.126,0.141,0.14,0.222,45.1
11358,37461,0.509436481,0.048,0.096,0.104,0.148,0.138,0.16,0.143,0.163,42.6
11360,19309,0.532601378,0.048,0.092,0.081,0.095,0.143,0.136,0.152,0.253,49.1
11361,29322,0.514221404,0.049,0.102,0.111,0.148,0.15,0.143,0.138,0.159,41
11362,18198,0.552643148,0.058,0.09,0.093,0.121,0.136,0.137,0.157,0.208,45.2
11363,7577,0.500197968,0.053,0.131,0.093,0.099,0.132,0.164,0.138,0.19,44.3
11364,35068,0.517394776,0.051,0.103,0.1,0.115,0.136,0.16,0.151,0.184,44.7
11365,44617,0.523813793,0.073,0.11,0.108,0.13,0.131,0.163,0.138,0.147,41.5
11366,14042,0.52919812,0.058,0.104,0.146,0.125,0.127,0.134,0.142,0.164,40.5
11367,42663,0.523240278,0.088,0.112,0.136,0.157,0.122,0.103,0.143,0.139,35.4
11368,112982,0.464604981,0.093,0.137,0.136,0.192,0.164,0.108,0.084,0.086,31.6
11369,37823,0.506781588,0.063,0.107,0.157,0.162,0.13,0.141,0.114,0.126,35.9
11370,34445,0.398432283,0.045,0.081,0.17,0.174,0.154,0.153,0.107,0.116,37.2
